"a.c.","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>a.c.</b><br>See <a href=""entry://alternating current"">alternating current</a>"
"magnetism","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>magnetism</b><br>A group of phenomena associated with <a href=""entry://magnetic field"">magnetic fields</a>. Whenever an electric current flows a magnetic field is produced; as the orbital motion and the <a href=""entry://spin"">spin</a> of atomic electrons are equivalent to tiny current loops, individual atoms create magnetic fields around them, when their orbital electrons have a net <a href=""entry://magnetic moment"">magnetic moment</a> as a result of their angular momentum. The magnetic moment of an atom is the vector sum of the magnetic moments of the orbital motions and the spins of all the electrons in the atom. The macroscopic magnetic properties of a substance arise from the magnetic moments of its component atoms and molecules. Different materials have different characteristics in an applied magnetic field; there are four main types of magnetic behaviour:
<blockquote class=""blk"">(a)&nbsp;In <i>diamagnetism</i> the magnetization is in the opposite direction to that of the applied field, i.e. the <a href=""entry://susceptibility"">susceptibility</a> is negative. Although all substances are diamagnetic, it is a weak form of magnetism and may be masked by other, stronger, forms. It results from changes induced in the orbits of electrons in the atoms of a substance by the applied field, the direction of the change (in accordance with <a href=""entry://Lenz's law"">Lenz's law</a>) opposing the applied flux. There is thus a weak negative susceptibility (of the order of -10<sup class=""expo"">-8</sup> m<sup class=""expo"">3</sup> mol<sup class=""expo"">-1</sup>) and a relative permeability of slightly less than one.
<br>(b)&nbsp;In <i>paramagnetism</i> the atoms or molecules of the substance have net orbital or spin magnetic moments that are capable of being aligned in the direction of the applied field. They therefore have a positive (but small) susceptibility and a relative permeability slightly in excess of one. Paramagnetism occurs in all atoms and molecules with unpaired electrons; e.g. free atoms, free radicals, and compounds of transition metals containing ions with unfilled electron shells. It also occurs in metals as a result of the magnetic moments associated with the spins of the conducting electrons.
<br>(c)&nbsp;In <i>ferromagnetic</i> substances, within a certain temperature range, there are net atomic magnetic moments, which line up in such a way that magnetization persists after the removal of the applied field. Below a certain temperature, called the <a href=""entry://Curie"">Curie</a> point (or Curie temperature) an increasing magnetic field applied to a ferromagnetic substance will cause increasing magnetization to a high value, called the <i>saturation magnetization</i> . This is because a ferromagnetic substance consists of small (1&ndash;0.1 mm across) magnetized regions called <i>domains</i> . The total magnetic moment of a sample of the substance is the vector sum of the magnetic moments of the component domains. Within each domain the individual atomic magnetic moments are spontaneously aligned by <i>exchange forces</i> , related to whether or not the atomic electron spins are parallel or antiparallel. However, in an unmagnetized piece of ferromagnetic material the magnetic moments of the domains themselves are not aligned; when an external field is applied those domains that are aligned with the field increase in size at the expense of the others. In a very strong field all the domains are lined up in the direction of the field and provide the high observed magnetization. Iron, nickel, cobalt, and their alloys are ferromagnetic. Above the Curie point, ferromagnetic materials become paramagnetic.
<br>(d)&nbsp;Some metals, alloys, and transition-element salts exhibit another form of magnetism called <i>antiferromagnetism</i> . This occurs below a certain temperature, called the <a href=""entry://Néel temperature"">Néel temperature</a>, when an ordered array of atomic magnetic moments spontaneously forms in which alternate moments have opposite directions. There is therefore no net resultant magnetic moment in the absence of an applied field. In manganese fluoride; for example, this antiparallel arrangement occurs below a Néel temperature of 72 K. Below this temperature the spontaneous ordering opposes the normal tendency of the magnetic moments to align with the applied field. Above the Néel temperature the substance is paramagnetic.
<br>A special form of antiferromagnetism is <i>ferrimagnetism</i> , a type of magnetism exhibited by the <a href=""entry://ferrite"">ferrites</a>. In these materials the magnetic moments of adjacent ions are antiparallel and of unequal strength, or the number of magnetic moments in one direction is greater than those in the opposite direction. By suitable choice of rare-earth ions in the ferrite lattices it is possible to design ferrimagnetic substances with specific magnetizations for use in electronic components. See also <a href=""entry://geomagnetism"">geomagnetism</a>.
<br></blockquote>"
"magneto","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>magneto</b>
<br>An alternating-current generator used as a high-tension source in the ignition systems of petrol engines in which there are no batteries, e.g. in some tractor, marine, and aviation engines. Most modern magnetos consist of a permanent-magnet rotor revolving within a primary (low-voltage) winding around which a secondary winding is placed in which to induce the high voltage needed to produce the spark across the points of the plugs. Magnetos are geared to the engine shaft, the speed depending on the number of poles of the magneto and the number of engine cylinders. A make-and-break device is incorporated in the primary winding; when the primary current stops the change of flux within the secondary induces in it a large e.m.f"
"magneto-optical effects","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>magneto-optical effects</b>
<br>Effects resulting from the influence of a <a href=""entry://magnetic field"">magnetic field</a> upon matter that is in the process of emitting or absorbing light. Examples are the <a href=""entry://Faraday effect"">Faraday effect</a> and the <a href=""entry://Zeeman effect"">Zeeman effect</a>"
"magnetobremsstrahlung","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>magnetobremsstrahlung</b><br>See <a href=""entry://synchrotron radiation"">synchrotron radiation</a>"
"magnetocaloric effect","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>magnetocaloric effect</b><br>A reversible change of temperature resulting from a change in the magnetization of a ferromagnetic or paramagnetic substance (see <a href=""entry://magnetism"">magnetism</a>). The change in temperature Δ<i>T</i>, accompanying an adiabatic change of magnetic field Δ<i>H</i>, is: <div class=""equ"">Δ<i>T</i>/Δ<i>H</i> = -<i>T</i>/<i>C</i><sub class=""ind"">H</sub>(∂<i>M</i>/∂<i>T</i>)<sub class=""ind"">H</sub></div>
<i>C</i><sub class=""ind"">H</sub> is the specific heat capacity per unit volume at constant <i>H</i> and <i>M</i> is the magnetization"
"magnetochemistry","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>magnetochemistry</b><br>The branch of physical chemistry concerned with measuring and investigating the magnetic properties of compounds. It is used particularly for studying transition-metal complexes, many of which are paramagnetic because they have unpaired electrons. Measurement of the magnetic susceptibility allows the magnetic moment of the metal atom to be calculated, and this gives information about the bonding in the complex"
"magnetohydrodynamics","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>magnetohydrodynamics</b>(MHD)
<br>The study of the interactions between a conducting fluid and a <a href=""entry://magnetic field"">magnetic field</a>. MHD is important in the study of controlled thermonuclear reactions in which the conducting fluid is a <a href=""entry://plasma"">plasma</a> confined by a magnetic field. Other important applications include the <i>magnetohydrodynamic power generator</i> (see illustration). In the open-cycle MHD generator a fossil fuel, burnt in oxygen or preheated compressed air, is seeded with an element of low <a href=""entry://ionization"">ionization</a> potential (such as potassium or caesium). This element is thermally ionized at the combustion temperature (usually over 2500 K) producing sufficient free electrons (e.g. K → K<sup class=""expo"">+</sup> + e) to provide adequate electrical conductivity. The interaction between the moving conducting fluid and the strong applied magnetic field across it generates an e.m.f. on the Faraday principle, except that the solid conductor of the conventional generator is replaced by a fluid conductor. The power output per unit fluid volume (<i>W</i>) is given by <div class=""equ""><i>W</i> = <i>k</i>σ<i>v</i><sup class=""expo"">2</sup><i>B</i><sup class=""expo"">2</sup></div>, where σ is the conductivity of the fluid, <i>v</i> is its velocity, <i>B</i> is the magnetic flux density, and <i>K</i> is a constant. Devices of this kind are in use in some power stations, where they are suitable for helping to meet high short-term demands and have the ability of increasing the thermal efficiency of a steam-turbine generator from about 40% to 50%. In experimental closed-cycle systems the fluid is continuously recirculated through a compressor; the fluid consists of a heated and seeded noble gas or a liquid metal.<center class=""pic""><img src=""000171.jpg"" ></img><br>Magnetohydrodynamic generator</center>"
"magnetomechanical ratio","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>magnetomechanical ratio</b><br>See <a href=""entry://gyromagnetic ratio"">gyromagnetic ratio</a>"
"magnetometer","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>magnetometer</b><br>An instrument for measuring the magnitude, and sometimes the direction, of a magnetic field. <i>Absolute magnetometers</i> measure the field without reference to a standard magnetic instrument. The most widely used are the <i>vibration magnetometer</i> , the <i>deflection galvanometer</i> , and the more modern <i>nuclear magnetometer</i> . The vibration instrument was devised by Gauss in 1832 and depends on the rate of oscillation of a small bar magnet suspended in a horizontal plane. The same magnet is then used as a fixed deflector to deflect a second similarly suspended magnet. The deflection galvanometer uses a Helmholtz coil system of known dimensions with a small magnet suspended at its centre. The deflected magnet comes to rest at a position controlled by the earth's magnetic field, the coil's magnetic field, and the angle through which the coil must be turned to keep the magnet and the coil in alignment. The sensitive nuclear magnetometers are based on measuring the audiofrequency voltage induced in a coil by the precessing protons in a sample of water. Various <i>relative magnetometers</i> are also in use, especially for measuring the earth's magnetic field and in calibrating other equipment"
"magnetomotive force","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>magnetomotive force</b>(m.m.f.)
<br>The analogue of <a href=""entry://electromotive force"">electromotive force</a> in a <a href=""entry://magnetic circuit"">magnetic circuit</a>. Mathematically, it is the circular integral of <i>H</i>cosθ</img> ds, where <i>H</i>cosθ</img> is the component of the magnetic field strength in the direction of a path of length ds. The m.m.f. is measured in <a href=""entry://SI units"">SI units</a> in ampere-turns. It was formerly called the <i>magnetic potential</i>"
"magneton","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>magneton</b><br>A unit for measuring <a href=""entry://magnetic moment"">magnetic moments</a> of nuclear, atomic, or molecular magnets. The <i>Bohr magneton</i> µ<sub class=""ind"">B</sub> has the value of the classical magnetic moment of an electron, given by <div class=""equ"">µ<sub class=""ind"">B</sub> = <i>eh</i>/4π</img><i>m</i><sub class=""ind"">e</sub> = 9.274 × 10<sup class=""expo"">-24</sup> A m<sup class=""expo"">2</sup></div>, where <i>e</i> and <i>m</i><sub class=""ind"">e</sub> are the charge and mass of the electron and <i>h</i> is the Planck constant. The <i>nuclear magneton</i> , µ<sub class=""ind"">N</sub> is obtained by replacing the mass of the electron by the mass of the proton and is therefore given by<div class=""equ""> µ<sub class=""ind"">N</sub> = µ<sub class=""ind"">B</sub><i>m</i><sub class=""ind"">e</sub>/<i>m</i><sub class=""ind"">p</sub> = 5.05 × 10<sup class=""expo"">-27</sup> A m<sup class=""expo"">2</sup>.</div>"
