e	and
biarticulado	biarticulated
biatatá	biatata
biatleta	biathlete
biatlo	biathlon
biátlon	biathlon
biatômico	biatomic
biauriculado	binaural
biauricular	binaural
biaxífero	biaxiferous
bibe	bib
bibelô	trinket
bibelotista	bibliotist
biberão	baby bottle
bi-bi	beep beep
bibionídeo	bibionid
bíblia	Bible
biblíaco	biblical
bibliátrica	bibliometric
bibliátrico	bibliographical
biblicismo	Biblicism
biblicista	Biblicist
biblidácea	biblical
bibliocanto	bibliocorner
biblioclasta	biblioclast
bibliocleptomania	bibliokleptomania
bibliocleptomaníaco	bibliokleptomaniac
bibliocleptômano	bibliokleptomaniac
bibliofagia	bibliophagy
bibliofágico	bibliophagic
bibliófago	bibliophagist
bibliofilaxia	bibliophilaxis
bibliofilia	bibliophilia
bibliofílico	bibliophilic
bibliofilme	bibliofilm
bibliófilo	bibliophile
bibliofobia	bibliophobia
bibliofóbico	bibliophobic
bibliófobo	bibliophobe
bibliogênese	bibliogenesis
bibliognosia	bibliognosy
bibliognosta	bibliognost
bibliografia	bibliography
bibliográfico	bibliographic
bibliólatra	bibliolator
bibliolatria	bibliolatry
bibliolátrico	bibliolatric
bibliologia	bibliology
bibliológico	bibliological
bibliólogo	bibliologist
bibliomancia	bibliomancy
bibliomaníaco	bibliomaniac
bibliômano	bibliomaniac
bibliomante	bibliomancer
bibliomântico	bibliomantic
bibliomapa	bibliomap
bibliônimo	biblionym
bibliopirata	bibliopirate
bibliopirataria	bibliopiracy
bibliopola	bibliopole
bibliorreia	bibliorrhea
bibliossanidade	bibliosanity
bibliotáfio	bibliotaph
bibliotecal	library
bibliotecário	librarian
bibliotecnia	librarianship
bibliotécnico	librarian
bibliotecologia	librarianship
bibliotecológico	librarian
biblioteconomia	librarianship
biblioteconômico	librarian
biblioteconomista	librarian
bibliotecônomo	librarian
bibliotecosofia	librarianship
bibliotecosófico	librarian
biblioterapêutica	bibliotherapeutics
biblioterapêutico	bibliotherapeutic
biblioterapia	bibliotherapy
biblioterápico	bibliotherapeutic
biblismo	Biblicalism
biblista	biblical scholar
bibracteolado	bibracteolate
bíbulo	bibulous
bicaço	beak
bicada	peck
bicado	pecked
bical	nozzle
bicama	bunk bed
bicame	bunk bed
bicameralismo	bicameralism
bicameralista	bicameral
bicampeão	two-time champion
bicampeonato	two-time champion
bicão	big beak
bicapsulado	bicapsulated
bicar	peck
bicarbonado	bicarbonate
bicarbonato	bicarbonate
bicarenado	bicarenate
bicaria	peckish
bicarpelado	bicarpellate
bicarpelar	bicarpellar
bicarra	birch
bicaudado	bicaudate
bicecídea	bicecidae
bicéfalo	bicephalic
bicelular	bicellular
bicentenário	bicentennial
bíceps	biceps
bicha-cadela	earwig
bichado	wormy
bichador	worm
bicha-louca	crazy bitch
bicha-louquice	crazy-faggot
bichanada	pussy
bichanar	to puss
bichano	kitten
bichão	big guy
bichar	to bug
bichará	vermin
bicharada	vermin
bicharedo	vermin
bicharia	vermin
bicharoca	bug
bicharoco	bug
bicheira	maggot
bicheiro	bookmaker
bichento	wormy
bicheza	beast
bichice	faggot
bichinha	little faggot
bicho-agrimensor	surveying animal
bicho-barbeiro	barber bug
bicho-bola	ball bug
bicho-bolo	cake bug
bichoca	bug
bicho-cabeludo	hairy animal
bichocar	to be shocked
bicho-careta	funny animal
bicho-carpinteiro	woodworm
bichoco	bug
bicho-colorado	red bug
bicho-da-seda	silkworm
bicho-das-frutas	fruit bug
bicho-da-terra	earthworm
bicho-de-cesto	basket worm
bicho-de-coco	coconut worm
bicho-de-conta	woodlice
bicho-de-frade	monk bug
bicho-de-galinha	chicken bug
bicho-de-ouvido	ear worm
bicho-de-parede	wall bug
bicho-de-pau	stick insect
bicho-de-pé	sand flea
bicho-de-porco	pig-bug
bicho-de-taquara	bamboo bug
bicho-de-vareja	pest
bicho-do-coco	coconut worm
bicho-do-pé	jigger
bicho-do-porco	pig-bug
bicho-folha	leaf bug
bicho-geográfico	geographic animal
bicho-gordo	fat animal
bicho-homem	beast-man
bicho-mouro	Moorish bug
bichona	faggot
bicho-papão	bogeyman
bicho-pau	stick insect
bicho-preto	black bug
bichoso	bugged
bicho-verde	green bug
bicicleta	bicycle
bicicletário	bike rack
bicicletista	cyclist
bicíclico	bicyclic
biciclo	bicycle
bicipitado	bicipitated
bicípite	biceps
bicloreto	bichloride
bicó	nozzle
bico-aberto	open beak
bico-agudo	sharp-beaked
bico-assovelado	spiky-billed
bico-blanco	white-billed
bico-branco	white-billed
bico-chato-de-orelha-preta	black-eared flatbill
bicoco	beak
bico-de-agulha	needle beak
bico-de-agulha-de-rabo-vermelho	red-tailed needlebill
bico-de-brasa	coal-beak
bico-de-corvo	crow's beak
bico-de-cravo	carnation beak
bico-de-ferro	iron beak
bico-de-fogo	fire beak
bico-de-furo	hole-nozzle
bico-de-lacre	waxbill
bico-de-papagaio	parrot's beak
bico-de-pato	duckbill
bico-de-pimenta	pepper beak
bico-de-prata	silverbill
bico-de-veludo	velvet beak
bico-doce	sweet beak
bico-encarnado	red-billed
bico-grosso	thick-billed
bicolateral	bicollateral
bicolorido	bicolor
bico-miúdo	small beak
bicomposto	bicomposite
bicôncavo	biconcave
bicondicional	biconditional
bicônico	biconic
bicontinentalidade	bicontinentality
bicontínuo	bicontinuous
biconvexo	biconvex
bico-pimenta	pepper beak
bicorada	peck
bicorar	peck
bico-rasteiro	low-billed
bicorcovado	beaked
bico-revolto	beak-turned
bicornuto	bicornuate
bico-roxo	purple beak
bicota	nipple
bicotar	peck
bicotidiano	bicotidian
bicotiledonado	bicotyledonous
bicotilédone	bicotyledon
bico-vermelho	red-billed
bico-virado-da-caatinga	caatinga-turned-beak
bico-virado-miúdo	small-turned-beak
bicromado	bichromated
bicromato	bichromate
bicromia	bichromy
bicuda	beaked
bicuda-da-lama	mud weevil
bicuda-de-corso	Corsican's forkbill
bicuda-guaraná	guarana weevil
bicuda-mangalô	bicuda-mangalo
bicudez	bicudity
bicudinha	little beak
bicudinho	little beak
bicudo	beaked
bicudo-do-algodoeiro	boll weevil
bicudo-do-norte	northern weevil
bicudo-encarnado	red-billed
bicudo-maquiné	weevil
bicudo-preto	black-billed weevil
bicuíba	bicuiba
bicuíba-branca	white bicuiba
bicuíba-de-folha-miúda	small-leaved bicuiba
bicuíba-redonda	round bicuiba
bicuíba-vermelha	red bicuiba
bicuspidado	bicuspid
bicúspide	bicuspid
bidão	drum
bidé	bidet
bidê	bidet
bidentado	bidentate
biderivar	biderivate
bidestilado	double distilled
bidialetalismo	bidialectalism
bidigitado	double-digit
bidimensional	two-dimensional
bidirecional	bidirectional
bidó	bidon
bidogue	mustache
bíduo	biduo
biebdomadário	biebdomadary
bieberita	bieberite
biela	connecting rod
bielorrusso	Belarusian
bienal	biennial
biênico	biennial
biênio	biennium
biestável	bistable
biestipulado	bistipulated
bifa	steak
bifada	steak
bifar	bifurcate
bifário	bifario
bifásico	biphasic
bife	beef
bifeira	steakhouse
bifenilo	biphenyl
bífero	biferous
bifesteque	steak
bífido	bifid
biflagelado	biflagellate
biflexo	biflex
bifloro	biflorous
bifoliado	bifoliate
bifolículo	bifollicle
bifólio	bifolio
bifoliolado	bifoliate
bífore	biphore
biforme	biform
bifosfato	bisphosphate
bifronte	two-faced
bifuncional	bifunctional
bifurcado	forked
biga	chariot
bigamia	bigamy
bigamizar	bigamize
bígamo	bigamist
big bang	big Bang
bigêmeo	biget
bigeminado	bigeminal
bigênere	bigender
bigênito	big-born
bigla	beagle
biglanduloso	biglandulous
bigle	beagle
bignônia	bignonia
bignoniácea	bignoniacea
bigodear	mustache
bigodeira	mustache
bigodeiro	mustache man
bigodete	mustache
bigodinho	little mustache
bigodudo	mustachioed
bigorrilha	bighorn sheep
bigorrilhas	bighorn sheep
bigorrilho	bigorilla
bigota	mustache
bigotismo	bigotism
biguá	cormorant
biguaçuano	biguan
biguaçuense	biguacuense
biguano	biguan
biguatinga	anguatinga
bigue-bangue	big bang
bigume	mustache
bigúmeo	bigumeous
bi-hebdomadário	bi-weekly
bijagó	bijago
bijeção	bijection
bijetor	bijector
biju	jewelry
bijuca	trinket
bijugado	bijugated
bíjugo	bijouterie
bijuí	bijou
bijupirá	cobia
bijutaria	jewelry
bijuteria	jewelry
bilabiado	bilabiate
bilaminado	bilaminate
bilaquiano	bilaquian
bilaterado	bilateral
bilateralidade	bilaterality
bilatério	bilateral
bilbaíno	Bilbao
bilbode	bilbod
bilboquê	bilboquet
bilhão	billion
bilhar	billiards
bilharda	billiards
bilhardar	billiards
bilharista	billiard player
bilhárzia	bilharzia
bilharziose	bilharzia
bilheta	ticket
bilhetada	ticketed
bilhetaria	box office
bilhete	ticket
bilheteira	ticket office
bilheteiro	ticket seller
bilhete-postal	postcard
bilheteria	box office
bilhostre	billy
bilião	billion
biliardário	biliard
biliário	billionaire
biligulado	biligulate
bilinearidade	bilinearity
bilíngue	bilingual
bilinguismo	bilingualism
bilionário	billionaire
bilionésimo	billionth
bilioso	bilious
biliro	bile
bilirrubina	bilirubin
bilirrubinemia	bilirubinemia
bilirrubinuria	bilirubinuria
bilirrubinúria	bilirubinuria
bilirrubinúrico	bilirubinuric
bilítero	biliteral
biliúria	biliuria
biliverdina	biliverdin
bilobado	bilobed
bilobulado	bilobular
bilola	ball
bilontragem	bilontrage
biloto	billet
bilrar	billiards
bilreira	billiards
bilreiro	billiards
bilro	bobbin
biltra	scoundrel
biltre	scoundrel
bilunga	bilong
bimaculado	bimaculate
bímano	two-handed
bímare	bimare
bimarginado	bimarginate
bimbalhada	bimbo
bimbalhar	to bimbal
bimba-n'água	water bimba
bimembre	bimember
bimensal	bimonthly
bimestral	bimonthly
bimestre	bimonthly
bimetálico	bimetallic
bimetalismo	bimetallism
bimetalista	bimetallist
bimilenar	bimillennial
bimilenário	bimillennial
bimonetário	bimonetary
bimonetarismo	bimonetarism
bimotor	twin engine
binacional	binational
binado	binated
binagem	binning
binar	binary
binária	binary
binário	binary
binarismo	binary
binascido	two-born
binervado	binervated
binérveo	binerveum
binga	bingo
bingo	Bingo
biniú	biniu
binoculado	binocular
binoculizar	binocularize
binóculo	binoculars
binômico	binomial
binômino	binomial
binômio	binomial
binucleado	binucleate
bioastronáutica	bioastronautics
bioastronáutico	bioastronautical
bioastronomia	bioastronomy
bioastronômico	bioastronomical
biobibliografia	biobibliography
biobibliográfico	biobibliographical
biobjetivo	bioobjective
biocenologia	biocenology
biocenose	biocenosis
biocenótica	biocenotics
biocenótico	biocenotic
biociclo	biocycle
biocida	biocide
biociência	bioscience
biócito	biocyte
bioclimatologia	bioclimatology
bioclimatológico	bioclimatological
biocoloide	biocolloid
biocombustível	biofuel
biocompatibilidade	biocompatibility
biocompatível	biocompatible
bioconversão	bioconversion
biocoro	biochorus
biocromatologia	biochromatology
biocromatológico	biochromatological
biocromatologista	biochromatologist
biocronologia	biochronology
biocronológico	biochronological
biodegradabilidade	biodegradability
biodegradação	biodegradation
biodegradar	biodegrade
biodegradável	biodegradable
biodigestor	biodigester
biodinâmica	biodynamics
biodinâmico	biodynamic
biodisponibilidade	bioavailability
biodiversidade	biodiversity
bioeletricidade	bioelectricity
bioelétrico	bioelectric
bioeletrônica	bioelectronics
bioeletrônico	bioelectronic
bioenergética	bioenergetics
bioenergético	bioenergetic
bioenergia	bioenergy
bioengenharia	bioengineering
bioequivalência	bioequivalence
bioequivalente	bioequivalent
bioestática	biostatics
bioestatística	biostatistics
bioestatístico	biostatistician
bioética	bioethics
biófago	biophage
biofilia	biophilia
biofílico	biophilic
biófilo	biophile
biofísica	biophysics
biofísico	biophysicist
biófito	biophyte
biofobia	biophobia
biofóbico	biophobic
biófobo	biophobic
biofotogênese	biophotogenesis
biogás	biogas
biogênese	biogenesis
biogenética	biogenetics
biogenético	biogenetic
biogenia	biogeny
biogênico	biogenic
biogeocenose	biogeocenosis
biogeografia	biogeography
biogeográfico	biogeographic
biogeógrafo	biogeographer
biogeoquímica	biogeochemistry
biogeoquímico	biogeochemical
biognose	biognosis
biognosia	biognosy
biografado	biography
biografagem	biography
biografar	biography
biográfico	biographical
biografismo	biography
biografista	biographer
biógrafo	biographer
bioindústria	bioindustry
bioinformática	bioinformatics
bioinformático	bioinformatician
biolinguística	biolinguistics
biólise	biolysis
biolítico	biolytic
biólito	biolith
biologia	biology
biológico	biological
biologismo	biologism
biologista	biologist
biólogo	biologist
bioluminescência	bioluminescence
bioluminescente	bioluminescent
bioma	biome
biomagnificação	biomagnification
biomagnificar	biomagnify
biomassa	biomass
biomatemática	biomathematics
biombo	screen
biomecânica	biomechanics
biomecânico	biomechanical
biomedicina	biomedicine
biomédico	biomedical
biômetra	biometer
biometria	biometrics
biométrico	biometric
biometrista	biometrician
biomolécula	biomolecule
biomórfico	biomorphic
biomorfismo	biomorphism
biomorfose	biomorphosis
biomorfótico	biomorphic
biônica	bionics
biônico	bionic
biônimo	bionym
bionte	biont
biôntico	biontic
biopirataria	biopiracy
bioplastia	bioplasty
biopolímero	biopolymer
bioprospecção	bioprospecting
biopse	biopsy
biopsia	biopsy
biópsia	biopsy
biopsíquico	biopsychic
biopsiquismo	biopsychism
bioquímica	biochemistry
bioquímico	biochemical
biorrítmico	biorhythmic
biorritmo	biorhythm
biose	biosis
biosfera	biosphere
biossatélite	biosatellite
biossegurança	biosafety
biossíntese	biosynthesis
biossintético	biosynthetic
biossistema	biosystem
biossocial	biosocial
biossociologia	biosociology
biossociológico	biosociological
biostática	biostatics
biotáctico	biotactic
biotático	biotactic
biotaxia	biotaxis
biotáxico	biotaxic
biotaxinomia	biotaxinomy
biotaxinômico	biotaxynomic
biotaxionomia	biotaxionomy
biotaxonomia	biotaxonomy
biotaxonômico	biotaxonomic
biotecnia	biotechnology
biotécnico	biotechnician
biotecnologia	biotechnology
biotecnológico	biotechnological
biotério	vivarium
bioterrorismo	bioterrorism
bioterrorista	bioterrorist
bioteste	biotest
biótico	biotic
biotina	biotin
biotípico	biotypical
biotipo	biotype
biótipo	biotype
biotipologia	biotypology
biotipológico	biotypological
biotita	biotite
biotomia	biotomy
biotômico	biotomic
biótopo	biotope
biotoponímia	biotoponymy
biotoponímico	biotoponymic
biotopônimo	biotoponym
biotropismo	biotropism
biovulado	biovulated
bióxido	dioxide
bip	beep
bipar	beep
biparido	biparous
bíparo	biparous
bipartição	bipartition
bipartidário	bipartisan
bipartidarismo	bipartisanship
bipartidarista	bipartisan
bipartido	bipartite
bipartir	bipartite
bipatente	bipatent
bipe	beep
bipectinado	bipectinate
bipedalismo	bipedalism
bípede	biped
bipeltado	bipelted
bipenado	bipennate
bipenatífido	bipennatifid
bipenatipartido	bipenatipartisan
bipenatissecto	bipenatisect
biperfurado	biperforated
bipetalado	bipetaled
bipétalo	bipetalous
bipinado	bipinnate
bipinária	bipinnaria
bipinatífido	bipinatifid
bipinatipartido	bipinnatipartite
bipinatissecto	bipinatisect
bipirâmide	bipyramid
biplano	biplane
bipolaridade	bipolarity
bipolarização	bipolarization
bipolarizar	bipolarize
bipolo	bipole
biporoso	biporous
bipotencial	bipotential
bipotencialidade	bipotentiality
biprisma	biprism
bipropelente	bipropellant
biquadrada	biquadrate
biquadrado	biquadratic
biquadrática	biquadratic
biquadrático	biquadratic
biquartzo	biquartz
biqueira	toe cap
biqueirada	toe kick
biqueiro	nozzle
biquine	bikini
biquinho	pout
biquíni	bikini
biquotidiano	bidaily
birbante	birbanant
biri	beer
biribá	biriba
biribá-de-pernambuco	Pernambuco biribá
biribá-verdadeiro	true biriba
biricera	birch
birita	booze
biritado	drunk
biritar	drink
biriteiro	binge drinker
birmã	burma
birmane	burmese
birmanês	Burmese
biró	desk
birô	bureau
biroró	biroro
birosca	tavern
birosqueiro	shopkeeper
birra	beer
birrada	tantrum
birradial	biradial
birrar	tantrum
birrefração	birefraction
birrefringência	birefringence
birrefringente	birefringent
birrelativo	birelative
birreme	bireme
birrento	grumpy
birrepetente	birepeant
birretângulo	birectangle
birrídeo	birrid
birro-branco	white birch
birsônima	bisonymous
biruba	windsock
biru-listrada	striped biru
biru-manso	tame biru
biruta	windsock
birutice	crazy
bisaco	bag
bisado	doubled
bisagra	great-granddaughter
bisalho	bevel
bisanual	biannual
bisão	bison
bisão-americano	American bison
bisão-europeu	European bison
bisar	to repeat
bisarrona	weirdo
bisavó	great grandmother
bisbilhante	snooping
bisbilhar	snoop
bisbilho	snoop
bisbilhotar	snoop
bisbilhoteiro	snoop
bisbilhoteria	snooping
bisbilhotice	snooping
bisbórria	bisborria
biscaia	biscay
biscainho	Biscay
biscaio	biscay
biscate	chore
biscateador	handyman
biscatear	char
biscateiro	handyman
biscato	odd job
bisco	biscuit
biscoitada	biscuit
biscoitar	to cookie
biscoiteira	cookie maker
biscoiteiro	cookie maker
biscoito	cookie
biscoutada	cracked
biscoutar	to crack
biscouteira	cookie maker
biscouteiro	scout
biscouto	biscuit
biseauté	bezel
biseiro	beekeeper
bisel	bevel
biselado	beveled
biselador	beveler
biseladora	beveling machine
biselamento	beveling
biselar	bevel
biselho	bevel
bisfenol	bisphenol
bislamá	bislam
bismutado	bismuthated
bismutífero	bismuthiferous
bismutinita	bismuthinite
bismuto	bismuth
bisnaga	tube
bisnaga-bengala	tube-cane
bisnagada	tube
bisnagar	tube
bisonhice	bison
bisonho	eeyore
bisonte	bison
bisotado	beveled
bisotar	bevel
bisotê	bevel
bispada	bishopric
bispal	bishop
bispar	bishop
bispicida	bispicide
bispicídio	bispicide
bispiralado	bispiral
bispotada	bishoprated
bispote	bishop
bissaco	bissack
bissanense	byssanense
bisseção	bisection
bissecção	bisection
bissecto	bisect
bissector	bisector
bissectriz	bisector
bissecular	bisecular
bissegmentação	bisegmentation
