ve	And
azotlama	Nitration
azotlamak	to nitrogenate
azotlu	nitrogenous
azotometre	azotometer
azotölçer	nitrogen meter
Azrail	Azrael
azraklaşma	debauchery
azraklaşmak	become horny
azraklık	rarity
babaanne	grandma
babaannelik	Grandmotherhood
babaca	fatherly
babacan	fatherly
babacanca	Fatherly
babacanlaşabilme	fatherly
babacanlaşabilmek	be like a father
babacanlaşma	paternalism
babacanlaşmak	become fatherly
babacanlık	fatherliness
babacık	Daddy
babacıl	fatherly
babacılık	fatherhood
babaç	father
babaçko	daddy
babafingo	topgallant
Babailik	Fatherhood
babaköş	Babakoş
babalanabilme	fatherhood
babalanabilmek	to be able to father
babalanış	fatherhood
babalanıverme	Don't be a father
babalanıvermek	fatherhood
babalanma	fatherhood
babalanmak	become a father
babalı	Fatherly
babasızlık	fatherlessness
babasoylu	patrilineal
babasoyluluk	patrilineage
babatatlısı	Babasweetsi
babayani	Babayani
babayanilik	Patriarchy
babayiğit	brave man
babayiğitçe	bravely
babayiğitleşebilme	to be brave
babayiğitleşebilmek	to become brave
babayiğitleşme	bravery
babayiğitleşmek	become a brave man
babayiğitlik	bravery
Babıâli	Sublime Porte
Babilik	Babism
Babilli	Babylonian
baca	flue
bacakkıran	legbreaker
bacaklanma	leg
bacaklanmak	to be on one's legs
bacaklı	-legged
bacaksız	legless
bacanak	brother-in-law
bacanaklık	brother-in-law
bacasız	chimneyless
bacı	Sister
bacılık	Sisterhood
badana	whitewash
badanacı	whitewasher
badanacılık	whitewashing
badanalama	whitewashing
badanalamak	whitewash
badanalanabilme	whitewashability
badanalanabilmek	be whitewashed
badanalanma	whitewashing
badanalanmak	whitewash
badanalatabilme	whitewashing
badanalatabilmek	whitewash
badanalatma	whitewash
badanalatmak	whitewash
badanalayabilme	whitewashing
badanalayabilmek	be able to whitewash
badanalayıverme	whitewash
badanalayıvermek	whitewash
badanasız	Unwashed
badas	badass
badat	Badat
badaz	Badass
bade	Almond
badema	almond
bademcik	tonsil
bademezmesi	almond paste
bademli	almond
bademlik	almond grove
bademsi	almond
bademşekeri	almond sugar
bademyağı	almond oil
baderna	wineglass
badıç	navel
badıçlı	tidy
badi	body
badikleme	Badiklama
badiklemek	to swat
badya	bath
bagaj	luggage
baget	drumstick
bağan	Binding
bağana	to the bagana
bağboğan	Bagbogan
bağcık	lace
bağcıklı	laced
bağcıksız	without laces
bağdadi	Baghdad
bağdadilik	Baghdadism
bağdalama	binding
bağdalamak	tie up
bağdalanma	connection
bağdalanmak	to be tied
bağdaş	coupled
bağdaşabilme	compatibility
bağdaşabilmek	be compatible
bağdaşık	compatible
bağdaşıklaştırma	syncretism
bağdaşıklaştırmak	to reconcile
bağdaşıklık	cohesion
bağdaşılma	compatibility
bağdaşılmak	be compatible
bağdaşım	compatibility
bağdaşma	compatibility
bağdaşmak	to be compatible
bağdaşmaz	incompatible
bağdaşmazlık	incompatibility
bağdaştırabilme	reconciliation
bağdaştırabilmek	be able to reconcile
bağdaştırıcı	adapter
bağdaştırıcılık	compatibility
bağdaştırılabilme	relatability
bağdaştırılabilmek	be compatible
bağdaştırılma	reconciliation
bağdaştırılmak	be associated with
bağdaştırma	reconciliation
bağdaştırmacı	harmonizer
bağdaştırmacılık	syncretism
bağdaştırmak	reconcile
bağdoku	connective tissue
bağdokusu	connective tissue
bağeylem	bondaction
bağfiil	conjunction
bağıcı	witch doctor
bağıcılık	Viticulture
bağıl	relative
bağıldak	relative
bağıldeğer	relative value
bağıllık	Relativity
bağılnem	relative
bağımlılaşabilme	dependency
bağımlılaşabilmek	to be addicted
bağımlılaşma	addiction
bağımlılaşmak	become addicted
bağımlılaştırabilme	addictiveness
bağımlılaştırabilmek	to be addicted to
bağımlılaştırılabilme	dependability
bağımlılaştırılabilmek	be addicted to
bağımlılaştırılma	dependency
bağımlılaştırılmak	be addicted
bağımlılaştırma	addiction
bağımlılaştırmak	make addicted
bağımlılık	dependence
bağımsızlaşabilme	ability to become independent
bağımsızlaşabilmek	to become independent
bağımsızlaşma	independence
bağımsızlaşmak	become independent
bağımsızlaştırabilme	ability to become independent
bağımsızlaştırabilmek	to be independent
bağımsızlaştırılabilme	independence
bağımsızlaştırılabilmek	to be made independent
bağımsızlaştırılma	independence
bağımsızlaştırılmak	be made independent
bağımsızlaştırma	independence
bağımsızlaştırmak	to make independent
bağımsızlık	independence
bağımsızlıkçı	Independenceist
bağımsızlıkçılık	independence
bağıntı	relation
bağıntıcı	correlative
bağıntıcılık	relativism
bağıntılama	correlation
bağıntılamak	to relate
bağıntılı	correlative
bağıntılılık	Relevance
bağıntısal	relational
bağırabilme	ability to shout
bağırabilmek	be able to shout
bağıradurma	Don't scream
bağıradurmak	shout
bağırdak	intestine
bağırgan	shouty
bağırganlık	shouting
bağırıverme	Don't scream
bağırıvermek	scream out loud
bağırma	yell
bağırmak	to shout
bağırtı	shouted
bağırtkan	screamer
bağırtlak	sand-grouse
bağırtma	Don't shout
bağırtmak	make someone shout
bağışçı	donor
bağışık	immune
bağışıklık	immunity
bağışıklıkbilim	immunology
bağışlanabilme	forgiveness
bağışlanabilmek	to be forgiven
bağışlanış	forgiveness
bağışlanmak	be forgiven
bağışlatabilme	Ability to forgive
bağışlatabilmek	to be able to forgive
bağışlatılma	absolution
bağışlatlatılmak	be pardoned
bağışlatış	forgiveness
bağışlayabilme	Ability to forgive
bağışlayabilmek	to be able to forgive
bağışlayıcı	forgiving
bağışlayıcılık	forgiveness
bağışlayış	forgiveness
bağışlayıverme	forgiveness
bağışlayıvermek	forgive
bağıt	bond
bağıtçı	vineyard
bağıtlama	Reconciliation
bağıtlamak	to connect
bağıtlanabilme	relatability
bağıtlanabilmek	be able to relate
bağıtlanış	connection
bağıtlanma	connection
bağıtlanmak	to be connected
bağıtlaşma	Reconciliation
bağıtlaşmak	to connect
bağıtlayabilme	ability to relate
bağıtlayabilmek	be able to relate
bağıtlayış	Conjunction
bağıtlı	related
bağkesen	vineyard cutter
bağlaç	conjunction
bağlaçlı	conjunction
bağlağı	conjunction
bağlam	context
bağlamacı	connector
bağlamacılık	Binding
bağlamsal	contextual
bağlanabilme	connectability
bağlanabilmek	to be able to connect
bağlanım	connection
bağlanımlı	connected
bağlanımlılık	connectedness
bağlanımsız	unattached
bağlanımsızlık	disengagement
bağlanış	connection
bağlanıverme	connect
bağlanıvermek	connect
bağlanma	attachment
bağlantılılık	connectedness
bağlantısızlık	disconnection
bağlaşık	allied
bağlaşıklık	Cohesion
bağlaşım	conjunction
bağlaşma	bonding
bağlaşmak	connect
bağlatabilme	ability to connect
bağlatabilmek	to be able to connect
bağlatma	tie up
bağlatmak	to tie up
bağlayabilme	ability to connect
bağlayabilmek	be able to connect
bağlayıcı	binding
bağlayıcılık	binding
bağlayış	connection
bağlayıverme	Don't connect
bağlayıvermek	tie up
bağlık	attachment
bağlılaşık	related
bağlılaşım	correlation
bağlılaşma	dependency
bağlılaşmak	to be attached
bağnaz	bigoted
bağnazlaşabilme	bigotry
bağnazlaşabilmek	to be a bigot
bağnazlaşma	bigotry
bağnazlaşmak	become a bigot
bağnazlaştırabilme	bigotry
bağnazlaştırabilmek	to fanaticize
bağnazlaştırılabilme	bigotry
bağnazlaştırılabilmek	to be fanaticized
bağnazlaştırılma	bigotry
bağnazlaştırılmak	be fanaticized
bağnazlaştırma	bigotry
bağnazlaştırmak	fanaticize
bağnazlık	bigotrya
bağrıkara	bagrikar
bağrış	shout
bağrışabilme	shouting ability
bağrışabilmek	to shout
bağrışmak	shout
bağsız	unbound
bahadır	Bahadir
Bahai	Baha'i
Bahailik	Bahaism
bahaneli	with excuses
bahanesiz	without excuse
bahar	spring
baharatçılık	Spice Industry
baharatlandırabilme	spice ability
baharatlandırabilmek	to spice up
baharatlandırılabilme	spiceability
baharatlandırılabilmek	to be spiced up
baharatlandırılma	seasoning
baharatlandırılmak	be seasoned
baharatlandırma	seasoning
baharatlandırmak	spice up
baharatsız	unseasoned
baharcı	Springer
baharın	spring
bahariye	Bahariye
baharlama	spring
baharlamak	spring
baharlı	spicy
bahçeci	gardener
bahçecilik	horticulture
bahçeli	gardened
bahçelik	garden
bahçesiz	without a garden
bahçıvanlık	horticulture
bahir	Bahir
bahis	bet
bahri	sea
bahriye	Navy
bahriyeli	gob
bahsetme	Don't mention
bahsetmek	to mention
bahşetme	grant
bahşetmek	to mention
baht	luck
bahtabakan	Bahtabakan
bahtiyar	lucky
bahtlı	lucky
bahtsız	hapless
bahtsızlık	misfortune
bahusus	especially
bakabilme	being able to look
bakabilmek	be able to look
bakaç	Look at the view
bakadurma	staring
bakadurmak	stare
bakakalış	stare
bakakalma	gape
bakakalmak	gape
bakalit	bakelite
bakalorya	baccalaureate
bakam	I'll see
bakanak	Minister
bakanlık	ministry
bakara	Baccarat
bakarkör	blind man
bakarkörlük	blindness
bakaya	to be deceived
bakı	Look
bakıcılık	babysitting
bakılabilme	maintainability
bakılabilmek	to be looked after
bakıladurma	Don't look at it
bakıladurmak	to be looked after
bakılma	be looked at
bakılmak	to be looked after
bakım	care
bakımcı	caretaker
bakımevi	nursing home
bakımlı	Well-groomed
bakımlık	care
bakımlılık	well-groomed
bakımsız	neglected
bakımsızlık	neglect
bakımyurdu	Nursing Home
bakınabilme	Ability to look
bakınabilmek	to be able to look
bakınadurma	Don't stop looking
bakınadurmak	to look at
bakınakoyma	Don't look at it
bakınakoymak	look at it
bakıncak	I'll see
bakınış	look
bakınmak	look
bakırcı	coppersmith
bakırcılık	coppersmith
bakırımsı	cupreous
bakırlaşma	copperization
bakırlaşmak	copperize
bakırlı	cuprous
bakırrengi	copper color
bakırsı	coppery
bakırtaşı	copperstone
bakışabilme	ability to look
bakışabilmek	to be able to look
bakışadurma	Don't stop looking
bakışadurmak	to stare at
bakışık	symmetrical
bakışım	symmetry
bakışımlı	symmetric
bakışımsız	asymmetric
bakışımlılık	symmetry
bakışımsızlık	asymmetry
bakışıverme	Don't look away
bakışıvermek	give a glance
bakışma	look
bakışmak	look at
bakıverme	don't look
bakıvermek	glance at
bakir	copper
bakirelik	virginity
bakirlik	virginity
bakkal	general store
bakkaliye	groceries
bakkallık	grocery
bakkam	My grocer
baklaçiçeği	legume
baklagiller	Legumes
baklakırı	broad bean
baklalık	broad bean
baklamsı	podded
baklan	Baklan
baklavacı	baklava maker
baklavacılık	Baklava making
baklavalık	for baklava
bakliyat	legumes
bakraç	copper
bakteri	bacterium
bakteridi	Bacteria
bakterigiller	Bacterial
bakterisit	bactericidal
bakteriyolog	bacteriologist
bakteriyoloji	bacteriology
bakteriyolojik	bacteriological
baktırabilme	to be able to look after
baktırabilmek	to be able to look at
baktırma	Don't look at it
balaban	Bitter
balabankuşu	bittern
balabanlaşma	bitterness
balabanlaşmak	To become bitter
balabanlık	Bitterness
balad	ballad
balalayka	balalaika
balans	balance
balarısı	honeybee
balast	ballast
balat	Ballad
balata	lining
balayı	honeymoon
balayına çıkmak	go on honeymoon
balcı	honey maker
balcılık	beekeeping
balçak	mud
balçıklama	Slime
balçıklamak	slime
balçıklaşma	slime
balçıklaşmak	become slimy
balçıklı	clayey
baldır	calf
baldır bacak	calf leg
baldırak	Bald
baldıranlık	hemlock
baldırıkara	bald-headed
baldırsokan	Damselthorn
baldız	sister in law
baldo	Baldo
baldudak	Bald Lips
bale	ballet
balerin	ballerina
balerinlik	ballerina
balet	ballet dancer
baletlik	ballet dancer
balgam	sputum
balgamlı	mucous
balgamsı	pituitary
balgamtaşı	phlegmstone
balgümeci	honeybee
balıkadam	diver
balıkbilim	ichthyology
balıkbilimci	ichthyologist
balıkçı barınağı	fishing shelter
balıkçı kazağı	fisherman's sweater
balıkçı yaka	turtleneck
balıkçılgiller	heron
balıkçılık	fishery
balıkçıllar	Herons
balıketi	full
balıketinde	in fish meat
balıkezmesi	fish paste
balıkgözü	fisheye
balıkhane	fish house
balıkkartalı	osprey
balıklağa	herringbone
balıklağı	herringbone
balıklama	fish
balıklandırabilme	fishability
balıklandırabilmek	to fish
balıklandırılabilme	fishability
balıklandırılabilmek	to be fished
balıklandırılma	fished
balıklandırılmak	be fished
balıklandırma	fish farming
balıklandırmak	fish
balıklava	FishLava
balıklı	fishy
balıkotu	Fishweed
balıkpulu	fish scale
balıksırtı	herringbone
balıksız	fishless
balıkunu	fish
balıkyağı	fish oil
balıkyumurtası	fish egg
baliğ	fish
baliğ olmak	be a fish
balina	whale
balinalar	Whales
balistik	ballistic
balk balk	fish fish
balk balk etmek	to babble
balkabağı	pumpkin
balkan	Balkan
Balkanlar	Balkans
balkanlaşma	balkanization
balkanlaşmak	balkanize
Balkanlı	Balkan
balkanlık	Balkan
Balkanolog	Balkanologist
Balkanoloji	Balkanology
Balkarca	Balkar
balkelebeği	honey butterfly
balkıma	to the balk
balkımak	balkimak
balkır	Balkır
balkıyış	honeymoon
balkıyıverme	don't give up
balkıyıvermek	to be swept away
balkon	balcony
balköpüğü	honey foam
ballanabilme	ballability
ballanabilmek	be able to be happy
ballandırabilme	sweetening ability
ballandırabilmek	to be able to sweeten
ballandırış	sweetening
ballandırma	sweetening
ballandırmak	sweeten
ballanma	honeycomb
ballanmak	be sweetened
ballıbaba	dead nettle
ballıbabagiller	Lamiaceae
ballıbasra	ballibasra
ballık	honey
ballıkara	Ballikara
ballıklı	Honeycomb
balo	prom
balon	balloon
baloncu	balloonist
baloncuk	bubble
balonculuk	ballooning
balonlama	ballooning
balonlamak	balloon
balotaj	ballage
balözü	nectar
balözülük	nectariferous
balpeteği	honeycomb
balrengi	honey-colored
balsıra	honeysira
baltabaş	axe head
baltaburun	Baltaburun
baltacı	halberdier
baltacık	Cleaver
baltacılık	axemanship
baltalama	undermining
baltalamak	undermine
baltalanabilme	underminability
baltalanabilmek	to be undermined
baltalanış	undermining
baltalanma	undermining
baltalanmak	undermine
baltalayabilme	undermining
baltalayabilmek	to undermine
baltalayıcı	Undermining
baltalayıcılık	undermining
baltalayış	undermining
baltalayıverme	undermine
baltalayıvermek	undermine
baltalık	coppice
balya	bale
balyalama	Baling
balyalamak	bale
balyalanma	baling
balyalanmak	bale
balyalatma	Baling
balyalatmak	bale
balyalayabilme	baleability
balyalayabilmek	be able to bale
balyozlama	sledgehammer
balyozlamak	sledgehammer
balyozlanma	sledgehammering
balyozlanmak	to be hammered
balyozlatma	sledgehammering
balyozlatmak	sledgehammer
bambaşkalaşma	complete transformation
bambaşkalaşmak	become completely different
bambaşkalık	completely different
bambıl	Bamboo
bambu	bamboo
bambul	Bamboo
bambulotu	Bamboo
bamburuk	Bamboo
bamteli	sore spot
bamya	okra
ban	Ban
banabilme	bannability
banabilmek	to be able to ban
banadura	Banadura
banağacı	Banana Tree
banallik	banality
banço	banjo
bandaj	bandage
bandajlama	bandaging
bandajlamak	bandage
bandajlanma	bandaging
bandajlanmak	be bandaged
bandajlatma	bandaging
bandajlatmak	bandage
bandıra	flag
bandırabilme	dipping ability
bandırabilmek	to dip
bandıralı	flagged
bandırasız	unflagged
bandırma	dip
bandırmak	dip
bando	band
bandocu	bandsman
bandrol	banderole
bangır bangır	bang bang
bangırdama	bang
bangırdamak	to bang
Bangladeşli	Bangladeshi
banış	reconciliation
bani	builder
bank	bench
banka	bank
bankacı	banker
bankacılık	banking
bankamatik	cash dispenser
bankerlik	banking
banket	shoulder
bankiz	Bankiz
banknot	banknote
banko	bank
bankomat	ATM
banlama	ban
banlamak	ban
banliyö	suburban
banma	submerge
banmak	to dip
banotu	henbane
bant	tape
bantlama	taping
bantlamak	tape
bantlayabilme	Ability to tape
bantlayabilmek	be able to tape
banyağı	bath oil
banyo	bath
banyolu	with bathroom
banyosuz	without bathroom
baobap	monkey bread
baraj	barrage
barak	barrack
baraka	shed
baratarya	barataria
barba	Barba
barbakan	Barbacan
barbarca	barbaric
barbarizm	barbarism
barbarlaşabilme	barbarity
barbarlaşabilmek	to become barbaric
barbarlaşma	barbarism
barbarlaşmak	become barbaric
barbarlık	barbarism
barbaşı	Barbasi
barbata	Barbata
barbekü	barbecue
barbet	Barbete
barbun	Red Mullet
barbunya	kidney bean
barbunyagiller	Kidney bean
barbut	craps
barcı	publican
barcılık	bar management
barça	barca
barçak	barchak
barda	at the bar
bardabaş	bardabas
bardacık	little glass
bardakçı	glassmaker
bardakeriği	greengage
barem	scale
baret	Helmet
barfiks	horizontal bar
bargaç	bargach
barı	at least
barınabilme	Able to accommodate
barınabilmek	to be able to shelter
barındırabilme	Ability to accommodate
barındırabilmek	To be able to accommodate
barındırılabilme	accommodating
barındırılabilmek	to be accommodated
barındırılma	hosting
barındırılmak	to be hosted
barındırma	hosting
barındırmak	to host
barınış	Peace
barınma	shelter
barınmak	shelter
barışabilme	reconciliation
barışabilmek	to be able to make peace
barışçı	Peaceful
barışçıl	peaceful
barışçılık	pacifism
barışıverme	peacemaking
barışıvermek	make peace
barışmak	make peace
barışseverlik	pacifism
barıştırabilme	reconciliation
barıştırabilmek	To reconcile
barıştırılabilme	reconciliation
barıştırılabilmek	be reconciled
barıştırılma	reconciliation
barıştırılmak	be reconciled
barikat	barricade
