och	and
bockhornsklöver	fenugreek
bockning	bending
bockprov	buck test
bockrot	fenugreek root
bockskägg	goatee
bocktörne	the bookkeeper
bocköl	buck beer
bod	shed
bodbetjänt	store clerk
bodelning	property division
bodknodd	bod knot
bodräkt	living room
bodystocking	body stocking
boendeform	form of accommodation
boendekostnad	accommodation cost
boer	Boer
boett	CASE
bofast	resident
bofink	chaffinch
bofällig	resident
boförälder	live-in parent
bogankare	bow anchor
bogblad	shoulder blade
bogbruten	broken book
bogfläsk	pork loin
boggi	bogie
boghalt	book content
boghöjd	bow height
bogsera	tow
bogserare	tug
bogserbåt	towboat
bogsergalge	tow hanger
bogsering	towing
bogserkabel	towing cable
bogserlina	towline
bogsersläp	tow trailer
bogsertross	tow hitch
bogspröt	bowsprit
bogträ	bentwood
bogvisir	book visor
bohem	bohemian
bohemisk	bohemian
bohuseka	housekeeper
bohuslänning	housing resident
bohuslänsk	Bohuslansk
bohuslänska	Bohuslanska
boj	buoy
bojar	buoys
bojkott	boycott
bojkotta	boycott
boka	book
bokanmälan	book review
bokauktion	book auction
bokband	book binding
bokbindare	bookbinder
bokbinderi	bookbinding
bokbord	book table
bokbuss	book bus
boke	book
bokfilm	book film
bokflod	book flood
bokföring	accounting
bokföringsmässig	accounting
bokföringsplikt	accounting duty
bokföringsskyldig	accounting liability
bokföringsskyldighet	accounting obligation
bokförlag	book publisher
bokförläggare	publisher
bokhandel	bookstore
bokhandlare	bookseller
bokhantverk	book craft
bokhylla	bookshelf
bokhållare	bookkeeper
bokkafé	book cafe
bokklubb	book club
boklig	bookish
boklåda	bookshop
boklärd	book scholar
bokmal	bookworm
bokmål	Bokmål
bokmäklare	book broker
bokmärke	bookmark
bokna	book
bokomslag	book cover
bokrygg	book spine
boksamlare	book collector
boksamling	collection of books
bokslukare	bookworm
bokslut	financial statements
bokstavera	spell
bokstavsbeteckning	letter designation
bokstavsbetyg	letter grade
bokstavsföljd	alphabetical order
bokstavsinspiration	letter inspiration
bokstavsordning	alphabetical order
bokstavsparti	letter lot
bokstavsrim	letter rhyme
bokstavsskrift	letter writing
bokstavstro	literal faith
bokstavstrogen	faithful to the letter
bokstavsträl	letter beam
bokstipendium	book scholarship
bokstöd	bookend
boksynt	book synthesis
boktorn	the book tower
boktryck	letterpress
boktryckare	book printer
boktryckarkonst	letterpress art
boktryckeri	printing press
bokverk	book works
bokvideo	book video
bol	ball
bolag	company
bolagisera	corporatize
bolagsman	partner
bolagsordning	articles of association
bolagsskog	company forest
bolagsstyrelse	company board
bolagsstämma	general meeting
bolin	the bowl
bolivian	Bolivian
boliviansk	Bolivian
bolivianska	Bolivian
bolla	ball
bollbehandling	ball treatment
bollhållare	ball holder
bollkalle	ball face
bollkänsla	ball sense
bollning	bowling
bollplank	ballpark
bollpojke	ball boy
bollsinne	ball sense
bollspel	ball game
bollträ	ball stick
bolmört	henbane
bolmörtsskivling	pea slicing
bolsjevik	Bolshevik
bolsjevism	Bolshevism
bolsterstock	bolster stock
bolstervar	bolsters
bolån	mortgage
bomba	bomb
bombanfall	bomb attack
bombardemang	bombardment
bombardera	bombard
bombare	bomber
bombasm	bomb
bombastisk	bombastic
bombattentat	bombing
bombering	bombing
bombflyg	bombing flight
bombkrater	bomb crater
bombmatta	carpet bomb
bombnedslag	bombing
bombplan	bomber
bombräd	bomb board
bombsikte	bomb sight
bombsäker	bombproof
bomma ut	boom out
bomolja	cottonseed oil
bomsadel	boom saddle
bomsegel	boom sail
bomullsbal	cotton bale
bomullsbuske	cotton bush
bomullsflanell	cotton flannel
bomullsfrö	cotton seed
bomullsfrökaka	cottonseed cake
bomullsfröolja	cottonseed oil
bomullskrut	cotton powder
bomullsplantage	cotton plantation
bomullstrassel	cotton tangle
bomullstrikå	cotton knitwear
bomullsväxt	cotton plant
bonbonjär	bonbonjaire
bondböna	broad bean
bonddryg	rustic
bonddräng	peasant
bondearmé	peasant army
bondefred	peasant peace
bondehemman	farmhouse
bondehär	peasant here
bondepraktika	farming practice
bondeskog	peasant forest
bondestånd	peasant estate
bondetåg	peasant train
bondfångare	confidence man
bondfångeri	confidence trick
bondförnuft	common sense
bondförstånd	common sense
bondförsök	farmer trial
bondgård	farmhouse
bondkomik	farm comic
bondkomiker	farm comedian
bondland	farmland
bondmora	peasant mother
bondneka	farmer nega
bondpermis	farm permit
bondpermission	farm leave
bondschack	pawn chess
bondsk	peasant
bondslug	farmer's trick
bondtolva	peasant twelve
bondtur	farm trip
bondvischan	the farmer's wish
bondånger	farm steamers
bongotrumma	bongo drum
bonitera	check credit
bonitering	credit rating
bonitet	creditworthiness
bonjour	frock coat
bonnett	bonnet
bonusklass	bonus class
bonvax	floor wax
bopålar	piles
borddans	table dance
bordeaux	burgundy
bordeauxvätska	bordeaux liquid
bordhyvel	table planer
bordlägga	lay the table
bordläggningsplenum	table setting plenum
bordlöpare	table runner
bordsamtal	table talk
bordsben	table legs
bordsbeställning	table order
bordsbön	table prayer
bordsdam	table lady
bordsdryck	table drink
bordservis	tableware
bordsfilt	table blanket
bordsilver	silverware
bordskavaljer	table cavaliers
bordskick	table condition
bordskiva	table top
bordskniv	table knife
bordskrydda	table seasoning
bordssalt	table salt
bordssamtal	table talk
bordsservis	tableware
bordssilver	silverware
bordsskick	table condition
bordsskiva	table top
bordstudsare	table bouncer
bordsuppsats	table essay
bordsvatten	table water
bordtennis	table tennis
bordtennisracket	table tennis racket
bordun	table
bordvarts	across the table
boren	drill
borga	to pay
borgarbeväpning	civilian armament
borgardöme	citizenship
borgargarde	civil guard
borgarklass	bourgeois class
borgarpress	civic pressure
borgarråd	city ​​council
borgarskola	civic school
borgarstånd	civil status
borgensförbindelse	surety bond
borgenslån	guaranteed loan
borgensman	guarantor
borgenssumma	bail sum
borgenär	creditor
borgenärsed	creditor's oath
borgerlig	bourgeois
borgerlighet	bourgeoisie
borgerskap	burghers
borgfred	peace of mind
borgis	citizen
boricka	borica
bornera	border
bornerad	bordered
bornyr	born
borr	drill
borrchuck	drill chuck
borrelia	Lyme disease
borrelios	Lyme disease
borrhål	borehole
borrjigg	drill jig
borrklinka	drill bit
borrkrona	drill bit
borrkärna	drill core
borrmaskin	drilling machine
borrmussla	drill
borrplattform	drilling platform
borrspindel	drill spindle
borrspån	drill chips
borrstål	drill steel
borrsväng	drill turn
borrtorn	oil rig
borsjtj	borscht
borst	bristle
borsta	brush
borstbindare	brush binder
borstbinderi	brush binding
borste	brush
borstgarnityr	brush set
borstig	bristly
borstmask	brush mask
borstnate	bristle brush
borstnejlika	brush cloves
borstsvans	bristle tail
borstviskare	brush whisperer
borsyra	boric acid
bortaförsäkring	away insurance
bortalag	away team
bortamatch	away game
bortanför	beyond
bortaplan	away plane
bortarbeta	work away
bortaseger	away win
bortavaro	absence
bortbjuden	invited out
bortbyting	changeling
bortdöende	dying out
bortdömning	condemnation
bortefter	afterwards
borterst	farthest
bortfall	lapse
bortfalla	lapse
bortförklara	explain away
bortförklaring	whitewash
bortigenom	through
bortkommen	lost
bortodling	cultivation
bortovaro	absence
bortrationalisering	rationalization away
bortresonera	reason away
bortrest	away trip
borträkna	count off
bortse	disregard
bortsida	away side
bortslumpa	random
bortsluta	exclude
bortsprungen	run away
bortsättning	removal
bortta	gone
bortträngning	crowding out
bortvikt	lost weight
bortvräka	evict
bortända	far end
bortöver	beyond
borymmare	bore room
boränta	mortgage interest
boskapsdrift	cattle operation
boskapsstock	cattle stock
boskifte	change of residence
boskillnad	separation of property
bosnier	Bosnian
bosnisk	Bosnian
bosniska	Bosnian
bossig	bossy
bossvälde	boss empire
bostadsadress	residential address
bostadsband	housing band
bostadsbestånd	housing stock
bostadsbidrag	housing allowance
bostadsbrist	housing shortage
bostadsföretag	housing company
bostadsförmedling	housing agency
bostadsinspektion	housing inspection
bostadskooperation	housing cooperative
bostadskredit	housing credit
bostadskö	housing queue
bostadslägenhet	residential apartment
bostadsmarknad	housing market
bostadsnämnd	housing board
bostadsområde	residential area
bostadspolitik	housing policy
bostadsrätt	condominium
bostadsrättsförening	condominium association
bostadssparande	housing savings
bostadstillägg	housing allowance
bostannare	resident
boston	Boston
bostonterrier	boston terriers
bostonvals	boston waltz
boställe	place of residence
bosättare	settler
bosätta sig	settle down
bosättningsaffär	settlement deal
bosättningslån	residence loan
bosättningsort	place of residence
botanik	botany
botaniker	botanist
botanikspade	botany spade
botanisera	botanize
botanisk	botanical
botanistspade	botanist spade
botdag	penance day
botgörare	penitent
botgörelse	penance
botgöring	penance
botlig	curable
botswanier	botswanis
botswansk	botswana
botswanska	botswana
bottenfast	bottom fixed
bottenfock	bottom jib
bottenfrysa	bottom freezer
bottenfällning	bottom precipitation
bottenfärg	bottom color
bottengarn	bottom yarn
bottenhederlig	downright honest
bottenis	bottom ice
bottenkran	bottom tap
bottenkurs	bottom rate
bottenkänning	bottom feeling
bottenlag	bottom layer
bottenlån	down payment
bottenläge	bottom position
bottenmorän	bottom moraine
bottennapp	bottom pacifier
bottenplan	ground floor
bottenrekord	record low
bottenrev	bottom reef
bottenreva	bottom rip
bottenskikt	bottom layer
bottenskola	elementary school
bottenskrap	bottom scraper
bottenskrapa	bottom scraper
bottenskvätt	bottom splash
bottenskyla	bottom cooling
bottenstock	bottom stock
bottentryck	bottom pressure
bottenventil	bottom valve
bottenvåning	ground floor
bottin	bottom
bottna	bottom
boule	ball
boulevardpress	boulevard press
bouppteckning	estate inventory
bourgogne	burgundy
boutredning	estate investigation
bov	villain
bovaktig	rascally
boverk	building works
bovete	buckwheat
bovfysionomi	bov physiognomy
bovstreck	bow dash
bowla	bowl
bowlare	bowler
bowlinghall	bowling alley
bowlingklot	bowling ball
boxa	boxing
boxboll	punching ball
boxer	Boxer
boxhandske	boxing glove
boxkalv	box calf
boxningsring	boxing ring
boyscout	boy scout
boägg	nest egg
bracka	barracks
brackig	brackish
brackvatten	brackish water
bradykardi	bradycardia
bragd	feat
bragdguld	achievement gold
bragelöfte	bragel promise
brailleskrift	Braille
braka	brak
brakfest	fallout party
brakmiddag	fallow dinner
brakskiva	break disk
braksuccé	smash hit
brakteat	bracteate
brakved	buckthorn
brakycefal	brachycephalic
brakycefali	brachycephaly
bralla	brawl
brallis	cheers
bramanism	Brahmanism
bramansk	Bramansk
bramin	Brahmin
bramsegel	jib sail
bramstång	bridle bar
brandalarm	fire alarm
brandartikel	fire article
brandbefäl	fire chief
brandbil	fire engine
brandbomb	incendiary
brandbotten	fire floor
brandchef	fire chief
branddike	fire ditch
branddörr	fire door
brandfackla	fire torch
brandfara	fire hazard
brandfarlig	flammable
brandförsvar	fire protection
brandgata	fire street
brandgavel	fire gable
brandgrav	fire pit
brandgul	fire yellow
brandhärd	hearth of fire
brandhärdig	fire resistant
brandhärja	fire ravages
brandingenjör	fire engineer
brandinspektör	fire inspector
brandkapten	fire captain
brandkår	fire brigade
brandkårsutryckning	fire department call
brandlager	fire stock
brandlarm	fire alarm
brandman	fire-fighter
brandmur	fire wall
brandpost	fire hydrant
brandredskap	fire equipment
brandrör	fire hose
brandsegel	fire sail
brandskadad	damaged by fire
brandskatt	fire tax
brandskatta	fire tax
brandskydd	fire protection
brandskåp	fire cabinet
brandslang	fire hose
brandsoldat	firefighter
brandspruta	fire sprinkler
brandstation	fire station
brandstege	fire escape
brandstod	fire stand
brandstyrka	fire power
brandsvamp	fire fungus
brandsyn	fire vision
brandsäker	fireproof
brandtal	fire rate
brandtorn	fire tower
brandvakt	fire watcher
brandvarnare	fire alarm
brandvägg	firewall
brandväsen	fire department
branschförening	industry association
branschråd	industry council
branschvana	industry practice
brasafton	bonfire evening
brasilian	Brazilian
brasilianare	Brazilians
brasiliansk	Brazilian
brasilianska	Brazilian
braska	brash
braskamin	wood stove
braskande	rambling
brasklapp	fire clap
brassa	brace
brasse	brass
braständare	fire lighter
bratvurst	bratwurst
bravad	bravado
bravera	brave
bravur	bravura
bravuraria	bravura
bravurnummer	bravura number
bravurroll	bravura role
braxen	bream
braxengräs	bream grass
braxenmygga	bream midge
braxenpanka	bream panka
bre	broad
breakdance	breakdancing
breda ut	spread
breda ut sig	spread out
bredaxlad	broad shouldered
bredbar	expandable
bredbent	broad legged
bredbladig	broadleaf
bredbrättad	broad-brimmed
bredbrättig	wide-ranging
bredda	broaden
breddgrad	latitude
breddidrott	broad sports
breddning	widening
bredmunnar	wide mouth
bredmynt	broad coin
brednäsapa	proboscis monkey
bredrandig	broad-striped
bredsida	broadside
bredskyggig	broad-eyed
bredspårig	broad gauge
bredså	broadly so
bredsådd	sown
bredvidläsning	side reading
bresilja	Brazil
bretagnare	Britannian
bretagnisk	British
bretagniska	British
breton	Breton
bretonsk	Breton
bretonska	Breton
bre ut	spread out
bre ut sig	spread out
brevbomb	letter bomb
brevbärare	postman
brevbäring	letter carrier
brevcensur	letter censorship
brevduva	homing pigeon
brevfack	mailbox
brevfråga	letter question
brevförsändelse	letter shipment
brevhemlighet	letter secrecy
brevhuvud	letterhead
breviarium	breviary
brevinkast	letter throwing
brevkort	postcard
brevlåda	mailbox
brevlådeföretag	letterbox company
brevpapper	stationery
brevporto	letter postage
brevpress	letter press
brevroman	epistolary novel
brevskola	correspondence school
brevskrivare	letter writer
brevskörd	letter harvest
brevställ	letter stand
brevställare	postman
brevsvar	letter reply
brevtelegram	letter telegram
brevvåg	letter balance
brevvän	pen-pal
brevväxla	exchange letters
brevväxling	correspondence
brevöppnare	letter opener
bricka	tray
brickband	tray band
brickbord	tray table
brickduk	tray cloth
bricklunch	tray lunch
brickplockare	tile picker
brickvävning	tile weaving
bridgebord	bridge table
bridong	bridge
bridreaktor	breeder reactor
briefa	brief
brigad	brigade
brigadgeneral	brigadier general
brigadör	brigadier
brigantin	brigantine
brigg	brig
briggsegel	brig sail
brikett	briquette
brikettera	briquette
brikettpress	briquette press
brikollstöt	bricolage
briljans	brilliance
briljant	brilliant
briljanterad	brilliant
briljantglas	brilliant glass
briljantin	the brilliance
briljera	show off
brillor	glasses
brinna av	burn off
brisad	windy
brisans	breeze
brisansgranat	explosive grenade
brisant	explosive
brisera	breeze
brisken	brisket
brissling	sprinkling
bristläge	shortage
bristning	burst
bristningsgräns	breaking point
bristsituation	shortage situation
bristsjukdom	deficiency disease
bristvara	shortage
bristyrke	deficiency strength
britanniametall	britannia metal
britannisk	British
brits	bunk
britt	British
brittisk	British
brittiska	British
brittmässa	British Fair
brittsommar	Indian summer
bro	bridge
broa	the bridge
broavgift	bridge toll
brobana	bridge track
brobelastning	bridge load
brobyggare	bridge builder
brobänk	bridge bench
brock	hernia
brockband	herniated band
brockfågel	Hernia bird
brodda	stitch
brodera	embroider
broderbok	embroidery book
broderbåge	embroidery bow
brodergarn	embroidery floss
broderi	embroidery
brodernål	embroidery needle
brodersax	embroidery scissors
brodersilke	embroidery silk
broderskap	brotherhood
brodersöm	embroidery stitch
brodyr	embroidery
