از	From	z
رابار	Rhubarb	rbr
بعوله	Due to	b`wlh
تومسرور	You are welcome.	twmsrwr
دوشیزهای	Maidens	dwshyzhy
داماداز	Groom's	dmdz
مبتهج	Excited	mbthj
برحصارهای	On the fences	brHSrhy
گماشتهام	I have appointed.	gmshthm
هرشب	Every night	hrshb
متذکران	Mentioners	mtdhkhrn
ندهیدتا	Don't give it to me.	ndhydt
دیگرغله	Other grains	dygrGlh
ماکول	Makol	mkhwl
نخواهندنوشید	They will not drink.	nkhwhndnwshyd
میچینند	They pick.	mychynnd
راخورده،	Eaten,	rkhwrdh,
هابگذرید	Skip it.	hbgdhryd
تااقصای	Reply	tqSy
همانااجرت	That's the salary.	hmnjrt
ازبصره	From Basra	zbSrh
میخرامد؟	Are you buying?	mykhrmd?
بغضب	Anger	bGDb
خودپایمال	Self-destructive	khwdpyml
بحدت	Extremely	bHdt
شدگانم	My friends	shdgnm
مرانجات	Maranjat	mrnjt
وفوررافت	Wafurraft	wfwrrft
کردمی	Karmad	khrdmy
گردانیدتا	Turned into	grdnydt
وولی	Woolly	wwly
تونترسیم	Tontrasim	twntrsym
خودرجعت	Self-return	khwdrj`t
رامشتعل	Rameshtaal	rmsht`l
ناری	Nari	nry
تانام	Tanam	tnm
ازرویت	From the outside	zrwyt
توغضبناک	You are angry.	twGDbnkh
لته	Lettuce	lth
وهمگی	Togetherness	whmgy
برگ،	Leaf,	brg,
رابخواند	Read it.	rbkhwnd
پوشیدهای	Covered	pwshydhy
گداختهای	Fusion	gdkhthy
خداوندآیا	God, is it?	khdwnday
وخاموش	And off.	wkhmwsh
جستندو	Looking for	jstndw
متمردی	Rebelliousness	mtmrdy
درباغات	In the gardens	drbGt
هامنزل	Hameln	hmnzl
وخورش	Food	wkhwrsh
میازیرا	Myazira	myzyr
دربینی	Derby	drbyny
بخورسوزانیدید	You burned incense.	bkhwrswznydyd
تلهااهانت	Telehahant	tlhhnt
درخوشه	In a cluster	drkhwshh
فاسدمساز	Corruptor	fsdmsz
ووارثی	Andheri	wwrthy
ظهورخواهم	I want to appear.	Zhwrkhwhm
شارون،	Sharon,	shrwn,
ووادی	Valley	wwdy
عاکور،	Akur,	`khwr,
طلبیدهاند	They have asked.	Tlbydhnd
مائدهای	Meals	my'dhy
ریختهاید،	You have poured,	rykhthyd,
فریادخواهید	You will scream.	frydkhwhyd
رابقتل	Killed	rbqtl
رابروی	Go ahead.	rbrwy
خوردبه	Khordbeh	khwrdbh
بیادنخواهد	Will come.	bydnkhwhd
ابدوجد	Abdujed	bdwjd
اوشنیده	Heard it.	wshnydh
مینماینددیگران	They represent others.	mynmynddygrn
بیجانخواهند	They will be inanimate.	byjnkhwhnd
آسمانهاکرسی	The HeavensChair	asmnhkhrsy
اینهابوجود	These exist.	ynhbwjwd
بگذراندمثل	To spend, like	bgdhrndmthl
خنزیری	Pig	khnzyry
بخورسوزاند	Burn incense.	bkhwrswznd
میرانندمی	Miranandemi	myrnndmy
روزمولود	Birthday	rwzmwlwd
یکدفعه	Suddenly	ykhdf`h
نزایانم؟	Am I childless?	nzynm?
زایاننده	Contagious	zynndh
راببندم؟	Should I close it?	rbbndm?
میگیرید،	You get it,	mygyryd,
اوشادی	Oshadi	wshdy
اوبمکید	Obmkid	wbmkhyd
بدوشید	Milked	bdwshyd
محظوظ	Happy	mHZwZ
بناز	Banaz	bnz
وخرم	And	wkhrm
باشعله	With a flame	bsh`lh
باآتش	With fire	batsh
یکنفر	One person	ykhnfr
راجزا	Rajza	rjz
برپاخواهم	I will set up.	brpkhwhm
یابندنزد	Find near	ybndnzd
وتوبال	Vetubal	wtwbl
مرانشنیدهاند	They didn't hear me.	mrnshnydhnd
روانهاو	Rehoboth	rwnhw
ماندهمچنان	Remains the same.	mndhmchnn
تاغره	Tagara	tGrh
وفقح	Jurisprudence	wfqH
برآمدندتا	They came out.	bramdndt
خودشاریاشوب	Self-help, chaos	khwdshryshwb
ازشدت	Extremely	zshdt
سرارام،	Seraram,	srrm,
ازشصت	Sixty	zshSt
باورنکنید	Don't believe it.	bwrnkhnyd
عمقها	Depths	`mqh
راعمانوئیل	Rahmanuel	r`mnwy'yl
باشدیعنی	To be means	bshdy`ny
آشورند	Assured	ashwrnd
آنهابرآمده،	They have emerged,	anhbramdh,
خاردار	Thorny	khrdr
مرتعها	Pastures	mrt`h
استرهای	Esters	strhy
سترده	Old man	strdh
کمانهامردم	BowsPeople	khmnhmrdm
خواهندفرستاد	They will send	khwhndfrstd
مهیرشلال	Mahirshalal	mhyrshll
حاش	Hash	Hsh
یبرکیا	Yberkia	ybrkhy
رامهیر	Ramhir	rmhyr
شلال	Waterfall	shll
بنام،	In the name of,	bnm,
بتواندای	You are capable.	btwndy
برخواهدآورد	Will bring up	brkhwhdawrd
گردنها	Necks	grdnh
ولایتت	Your province	wlytt
آییدای	Aida	ayydy
گیریدای	Giridai	gyrydy
راببندید	Close it.	rbbndyd
وبجا	Webpage	wbj
ننامید	Don't call.	nnmyd
وخائف	Fearful	wkhy'f
وشکسته	Broken	wshkhsth
بدام	Almond	bdm
درشاگردانم	My students	drshgrdnm
میسازدانتظار	Makes wait	myszdntZr
وجادوگرانی	And witchcraft	wjdwgrny
بالاخواهند	They will rise.	blkhwhnd
خواهندانداخت	They will throw	khwhndndkht
زیادگردانیدی	You have increased.	zydgrdnydy
ورخوت	Verkhout	wrkhwt
ومشیر	And advisor	wmshyr
سرورسلامتی	Health Minister	srwrslmty
انتهانخواهد	It will never end.	nthnkhwhd
وتکبر	And arrogance	wtkhbr
امابا	Amaba	mb
گذاریم	Let's leave.	gdhrym
رابضد	Against	rbDd
نطلبیدهاند	They have not requested.	nTlbydhnd
ودم	Breath	wdm
خواهدبرید	Will you take it?	khwhdbryd
هادیان	Hadian	hdyn
وشریرند	They are evil.	wshryrnd
بااینهمه	However	bynhmh
هنوزدراز	Still long	hnwzdrz
میربایند	They will die.	myrbynd
بضد	Against	bDd
متحدمی	United	mtHdmy
درعناتوت	In Anatut	dr`ntwt
راشناختم	I recognized	rshnkhtm
برکنی	Berkney	brkhny
جوشنده	Boiling	jwshndh
منبسط	Expanded	mnbsT
توکمر	Tokmar	twkhmr
زیرااینک	Because now	zyrynkh
کرداما	Kardama	khrdm
یادمگیرید	Don't learn.	ydmgyryd
قومهاباطل	The nations are false.	qwmhbTl
تبرمی	Tabermi	tbrmy
دربوستان	In the garden	drbwstn
توانندرفت	Can go	twnndrft
رسانیدو	Arshiddo	rsnydw
هاکیست	Hockey player	hkhyst
نترسد	Don't be afraid.	ntrsd
میشایدچونکه	Maybe because	myshydchwnkhh
پیشگان	Pishgan	pyshgn
نتوانندشد	They couldn't.	ntwnndshd
آوازمی	I sing.	awzmy
وحشیاند	They are wild.	wHshynd
اویهوه	Oyehwe	wyhwh
تابفهمند	They understand.	tbfhmnd
مرابرپا	I am standing.	mrbrp
واضطراب	Anxiety	wDTrb
ماوای	Mawai	mwy
مراتادیب	Disciplinarian	mrtdyb
مبادامرا	Maybe.	mbdmr
بلعیده،	Swallowed,	bl`ydh,
بفرمایم	Please.	bfrmym
فرانداشتند	They didn't fly.	frndshtnd
رانمودند	They did not show.	rnmwdnd
وفانمایند	They are loyal.	wfnmynd
نتوانندرست	They can't.	ntwnndrst
نزدخدایانی	Near the gods	nzdkhdyny
فریادخواهند	They will shout.	frydkhwhnd
هرگزایشان	Never them	hrgzyshn
یهوداشماره	JudasNumber	yhwdshmrh
بخورسوزانیدن	Burning incense	bkhwrswznydn
دعامکن	Prayer room	d`mkhn
بلندمنما	Long-range	blndmnm
مرابخوانند	They are calling me.	mrbkhwnnd
میتوانستی	You could	mytwnsty
نیکوخوشنما	Good-looking	nykhwkhwshnm
راغرس	Raghuram	rGrs
بخورسوزانیده،	Incense burned,	bkhwrswznydh,
آموز	Learner	amwz
بامیوهاش	Bamiyohash	bmywhsh
احکامت	Your rulings	Hkhmt
اندزیرا	Endzira	ndzyr
سالم،	Healthy,	slm,
شیرجنگل	Jungle lion	shyrjngl
آیامیراث	Is it heritage?	aymyrth
مراخراب	Destroyer	mrkhrb
آوردندزیرا	They brought it because	awrdndzyr
کناردیگرش	Next to each other	khnrdygrsh
کاشتند	They planted	khshtnd
درویدند،	Druids,	drwydnd,
شریرخود	Evil self	shryrkhwd
ازبرکندن	Unplug	zbrkhndn
یادگرفته،	Learned,	ydgrfth,
خورندچنانکه	They eat as	khwrndchnnkhh
ازمرور	From the past	zmrwr
هیچکار	Nothing	hychkhr
تکبرعظیم	Monogamy	tkhbr`Zym
ابانموده،	Abanoudeh,	bnmwdh,
هیچکارنیست	Nothing to do.	hychkhrnyst
میچسبد،	It sticks,	mychsbd,
چسبانیدم	I glued it.	chsbnydm
هرمشک	Hermoshk	hrmshkh
مینشینندو	Sitting down	mynshynndw
تکبرشما	Your arrogance	tkhbrshm
افسرها	Officers	fsrh
اسیرشده،	Captured,	syrshdh,
فرونخواهد	It will not subside.	frwnkhwhd
وپاشنه	And heels	wpshnh
آیاحبشی،	Is it Abyssinian?	ayHbshy,
یاپلنگ،	Or leopard,	yplng,
طاهرنخواهی	Purity	Thrnkhwhy
فریاداورشلیم	The Cry of Jerusalem	frydwrshlym
صغیران	Minors	SGyrn
پوشانند	Cover	pwshnnd
وگورخران	And the ghouls	wgwrkhrn
باددم	I am tired.	bddm
متحیرو	Astonished	mtHyrw
تونامیده	Tonamide	twnmydh
وقحط	Famine	wqHT
وقحطی	Famine	wqHTy
نفرستادهام	I didn't send it.	nfrstdhm
شمشیرانداخته	Swordsman	shmshyrndkhth
کندزیرا	Because	khndzyr
وصدمه	And trauma	wSdmh
زدهای	Zeddah	zdhy
ببارانند	To rain	bbrnnd
میایستادندجان	They were standing there.	myystdndjn
توبگویند	To be told	twbgwynd
شمشیربرای	Sword for	shmshyrbry
وکارهایی	And things	wkhrhyy
یکسو	One-sided	ykhsw
تومرا	Tomera	twmr
برگشتی	You are back.	brgshty
ازپشیمان	Of regret	zpshymn
بیخت	Seedling	bykht
زاینده	Progenitor	zyndh
ولد	Son	wld
رسواگردید	Be scandalous.	rswgrdyd
جنگجوو	Warrior	jngjww
ربوا	Rabwa	rbw
تومتذلل	You are a disgrace.	twmtdhll
وخزینه	Treasury	wkhzynh
قیمت،	Price,	qymt,
بیادآورده،	Remember,	bydawrdh,
ستمکارانم	My oppressors	stmkhrnm
دیرغضبی	Slow-wittedness	dyrGDby
کشیدهام	I have drawn.	khshydhm
وابتهاج	Wabhitaj	wbthj
ننشستم	I didn't sit down.	nnshstm
ازخشم	Out of anger	zkhshm
ناپایدارخواهی	Instability	npydrkhwhy
اگربازگشت	If you return	grbzgsht
خودقایم	Self-sufficient	khwdqym
رذایل	Vices	rdhyl
نخواهندآمد	They will not come.	nkhwhndamd
ورهانیدن	To drive away	wrhnydn
مولودشوند	Born	mwlwdshwnd
وپدرانی	And fatherly	wpdrny
نرو	Don't go.	nrw
مراحم	Merciful	mrHm
توبپرسند	Top questions	twbprsnd
ازپدران	From the fathers	zpdrn
شماندانستهاید	You are not here.	shmndnsthyd
شبانهروزخدایان	Gods around the clock	shbnhrwzkhdyn
شکارکنند	Hunters	shkhrkhnnd
رسانیدچونکه	Delivered because	rsnydchwnkhh
مملوساختهاند	They are made of clay.	mmlwskhthnd
واباطیل	And falsehoods	wbTyl
خودخدایان	Self-gods	khwdkhdyn
بیزرع	Uncultivated	byzr`
عرعر	Juniper	`r`r
نخواهدترسید	You will not be afraid.	nkhwhdtrsyd
درخشکسالی	Drought year	drkhshkhsly
آزماینده	Tester	azmyndh
هاهستم	I am.	hhstm
باشدبنشیند،	Let him sit down,	bshdbnshynd,
توتسبیح	Praise be to God.	twtsbyH
بلاملجای	In place	blmljy
شونداما	Shondama	shwndm
مکنیدبلکه	Don't, but	mkhnydblkhh
تانشنوند	Listen	tnshnwnd
نسازید	Don't make it.	nszyd
اگرمرا	If I	grmr
برچرخها	On wheels	brchrkhh
نظرکوزهگر	Nazarkozegar	nZrkhwzhgr
قصدنمودهام	I intended to.	qSdnmwdhm
یامملکتی	Yammalakti	ymmlkhty
قصدی	Intentional	qSdy
راشنیده	Heard	rshnydh
مرافراموش	I forgot.	mrfrmwsh
میسوزانند	They burn.	myswznnd
میلغزانند	They are slippery.	mylGznnd
رامایه	Ramayana	rmyh
روزمصیبت	Day of Trouble	rwzmSybt
تدبیرهانماییم	We will take measures.	tdbyrhnmyym
ازحکیمان	From the wise	zHkhymn
راگوش	Ragush	rgwsh
کندهاند	Kandhhand	khndhnd
بگردانم	I will turn.	bgrdnm
قحطبسپار	Drought-stricken	qHTbspr
کردنم	I did it.	khrdnm
اندو	Endo	ndw
رامیامرز	Ramiamars	rmymrz
مسازبلکه	Maybe	mszblkhh
لغزانیده	Slippery	lGznydh
کوزهگران	Potters	khwzhgrn
نداکن	Don't give up.	ndkhn
بودندسوزانیدند	They were burned.	bwdndswznydnd
مملوساختند	They made it full.	mmlwskhtnd
تاپسران	Topsran	tpsrn
حضوردشمنان	Presence of enemies	HDwrdshmnn
راخوراک	Food	rkhwrkh
کندمتحیر	Slow, surprised	khndmtHyr
بلایایش	Its disasters	blyysh
آنهابخور	They eat.	anhbkhwr
درصحن	On stage	drSHn
لم	Lam	lm
یزرع	Yazra	yzr`
یافتندکه	They found that	yftndkhh
طیبات	Tayyabat	Tybt
ساختیدومیراث	Construction and inheritance	skhtydwmyrth
نشناختندو	Unrecognizable	nshnkhtndw
خدانیستند؟	Are they not gods?	khdnystnd?
کندهاند،	Kandhan,	khndhnd,
آیااسرائیل	Is it Israel?	aysry'yl
واردنیاوردی	You didn't come.	wrdnywrdy
باراه	Barah	brh
رابنوشی؟	Rabindranath Tagore?	rbnwshy?
امرزشت	Ugly	mrzsht
گسیختم	I broke.	gsykhtm
وگفتی	And you said	wgfty
گردیدهای؟	Have you changed?	grdydhy?
اشنان	Ashnan	shnn
صابون	Soap	Sbwn
بری،	Barry,	bry,
نرفتم؟	Didn't I go?	nrftm?
نماای	Appearance	nmy
گورخر	Zebra	gwrkhr
شهوتش	His lust	shhwtsh
ماهش	Mahesh	mhsh
امیدنیست	No hope.	mydnyst
گرفتارشود	To be caught	grftrshwd
زاییدهای	Births	zyydhy
مصیتت	Your name	mSytt
زدهام	I have struck.	zdhm
غلیظشدهام؟	Am I getting fat?	GlyZshdhm?
بیشمارمرا	Countless of me	byshmrmr
مهیامی	Mahayami	mhymy
بطلبی؟	Do you want it?	bTlby?
درنقب	In the Negev	drnqb
گفتنت	Telling you	gftnt
اینقدرمی	That's it.	ynqdrmy
ازآشور	From Assyria	zashwr
برسرت	Berseret	brsrt
امورنبوت	Prophecy	mwrnbwt
رازده،	Secret,	rzdh,
کندهای	Kandhai	khndhy
ارمیاوی	Jeremiah	rmywy
ماجور	Major	mjwr
مسابیب	Mistakes	msbyb
مورث	Mother	mwrth
آنجاخواهید	You will be there.	anjkhwhyd
روزمضحکه	April Fool's Day	rwzmDHkhh
زیراهر	Because	zyrhr
اصدقای	Friends	Sdqy
اوشکایت	Complaint	wshkhyt
اوفریفته	Oversold	wfryfth
آزمایی	Trial	azmyy
ومبارک	Congratulations	wmbrkh
توولد	Born	twwld
بسیارشادمان	We are very happy.	bsyrshdmn
ظهربشنود	Listen to the noon	Zhrbshnwd
ازرحم	From the womb	zrHm
صفنیا	Zephaniah	Sfny
میکندشاید	Maybe.	mykhndshyd
ماعمل	Our practice	m`ml
کلدانیانی	Chaldean	khldnyny
اندبیفتد،	Endbift,	ndbyftd,
مغصوبان	The Occupied	mGSwbn
برهانیدمبادا	Proof	brhnydmbd
شمامثل	You are like	shmmthl
میگوییدکیست	Migoid cyst	mygwyydkhyst
هماناپادشاهانی	The King of Kings	hmnpdshhny
بنشینند،	Sit down,	bnshynnd,
سوارخواهند	They will ride.	swrkhwhnd
نشنویدخداوند	Don't listen, God.	nshnwydkhdwnd
خواهندافکند	They will throw	khwhndfkhnd
عبورنمایند	to pass	`bwrnmynd
یوشیاپادشاه	King Josiah	ywshypdshh
اندخواهد	Will not	ndkhwhd
مروح	Maruah	mrwH
وپنجرهها	And the windows	wpnjrhh
آزادمکارمت	Azad Makarmat	azdmkhrmt
آیاپدرت	Is your father	aypdrt
بلندکن	Lift	blndkhn
درلبنان	In Lebanon	drlbnn
درسروهای	In the trees	drsrwhy
دردمثل	Painful	drdmthl
توافسوس	Regret	twfsws
کنیاهو	Kenya	khnyhw
میکندم	I will.	mykhndm
ترسانی	Fear	trsny
خواهیدمرد	You will die.	khwhydmrd
بااولادش	With his children	bwldsh
وافکنده	Thrown away	wfkhndh
زمینای	Earth	zmyny
نخواهدنشست،	He won't sit down,	nkhwhdnshst,
ایدو	Ido	ydw
ننمودهاید	You did not show.	nnmwdhyd
میگویداینک	He says now	mygwydynkh
راندهام	Randham	rndhm
بچرانند	To graze	bchrnnd
مفقودنخواهند	They will not be lost.	mfqwdnkhwhnd
صدقینو	Sadiqino	Sdqynw
مسترخی	Relax	mstrkhy
اوگردیدهام	I was there.	wgrdydhm
منافقاند	Hypocrites	mnfqnd
گردانیدهاند	They have turned	grdnydhnd
چیزهولناک	Terrible thing	chyzhwlnkh
میدهندمبادا	They give and receive.	mydhndmbd
منتشرشده	Published	mntshrshdh
میکنندگوش	They listen.	mykhnndgwsh
میدهندو	Give	mydhndw
میشمارندپیوسته	They count continuously.	myshmrndpywsth
خداوندتا	God willing	khdwndt
نرساندبرنخواهد	If he doesn't deliver, he won't take it.	nrsndbrnkhwhd
خواهیدفهمید	You will understand.	khwhydfhmyd
میماندند،	They would stay,	mymndnd,
چهکاراست؟	What is it?	chhkhrst?
خردمی	Wisdom	khrdmy
بکدیگر	Again	bkhdygr
میدزدندهستم	I was stealing.	mydzdndhstm
ضداین	Against this	Ddyn
وحی؟	Revelation?	wHy?
یاقومی	Or ethnic	yqwmy
برخانهاش	At his house	brkhnhsh
شمافرستاده،	You sent it,	shmfrstdh,
باروسای	Barossa Valley	brwsy
سبدانجیر	Fig basket	sbdnjyr
نیکومثل	Nikomathel	nykhwmthl
بدبود	Badness	bdbwd
وانجیرهای	And figs	wnjyrhy
بدکه	Badka	bdkhh
ساکناند	Residents	skhnnd
وبلا	Woe	wbl
عارو	Aaro	`rw
باشدکلام	Be the word.	bshdkhlm
شریرخویش	Evil self	shryrkhwysh
بلابرسانم	I am a blacksmith.	blbrsnm
فرستادنوشانیدم	I sent it.	frstdnwshnydm
وبندگانش	And his descendants	wbndgnsh
میتراشند	They shave.	mytrshnd
شیشک	Shishk	shyshkh
شویدو	Dill	shwydw
نوشیدنش	Drinking it	nwshydnsh
بیعقوبت	Unpunished	by`qwbt
خواهیدماند؟	Will you stay?	khwhydmnd?
افشرند،	Afsharand,	fshrnd,
میزند،	It beats,	myznd,
ازکرانهای	From the edges	zkhrnhy
نخواهندگرفت	They will not take	nkhwhndgrft
وملجا	And shelter	wmlj
خداوندنازل	God sent down	khdwndnzl
شایدبشنوند	Maybe they will hear.	shydbshnwnd
ازبلایی	From trouble	zblyy
بدایشان	Primitive	bdyshn
وغیرمسکون	Uninhabited	wGyrmskhwn
شنیدنداز	Listener	shnydndz
انبیاگفتند	The prophets said	nbygftnd
میکای	Micah	mykhy
مورشتی	Moreshti	mwrshty
راکشتند؟	Did they kill him?	rkhshtnd?
خداونداستدعا	God, supplication	khdwndstd`
قریت	Qiryat	qryt
شجاعانش	His bravery	shj`nsh
ویهویاقیم	Vihuyaqim	wyhwyqym
قبرستان	Cemetery	qbrstn
ارمیابود	Jeremiah	rmybwd
یوغها	Yokes	ywGh
زیریوغ	Under the yoke	zyrywG
نمایندخداوند	God's representative	nmyndkhdwnd
قحطو	Famine	qHTw
مگیریدبلکه	You don't get it, but	mgyrydblkhh
استدعابکنند	To beg	std`bkhnnd
ازجبعون	From Gibeon	zjb`wn
شکستهام	My failures	shkhsthm
حضورکاهنان	The presence of priests	HDwrkhhnn
حاضربودند	They were present.	HDrbwdnd
بسیاروممالک	Many and property	bsyrwmmlkh
ارمیانبی	Armeniabi	rmynby
تانبوکدنصر	Tanbokdnasr	tnbwkhdnSr
تواین	Twain	twyn
وامیداری	Loan	wmydry
ضدخداوند	Anti-God	Ddkhdwnd
همانسال	That same year	hmnsl
جمریا	Jameria	jmry
فرستادهام	I sent it.	frstdhm
شمااند	You are	shmnd
خودجستجو	Self-search	khwdjstjw
راندهام،	Randham,	rndhm,
داودنشسته	David is sitting.	dwdnshsth
شهرساکنند،	Sakandan City,	shhrskhnnd,
نرفتهاند،	They haven't gone,	nrfthnd,
ووبا	Wuba	wwb
قولایا	Qolaya	qwly
صدقیاو	Sadiq	Sdqyw
نحلامی	Nehalami	nHlmy
اورشلیماند	Jerusalem	wrshlymnd
نزدصفنیا	Near Zephaniah	nzdSfny
