Chinese	Taiwanese	Sort	English
勤務中 (勤務時間 ,上班時間 )	khi5n-bu7-tiong (khi5n-bu7 si5-kan, sio7ng-pan si5-kan)	khin bu 01b	business (office) hours, on duty
勤務兵	khi5n-bu7-peng	khin bu peng	orderly
輕症	khin-che3ng	khin cheng	benign disease
芹菜	khi5n-chha3i (khu5n-chha3i)	khin chhai	celery
輕稱 (重量輕 )	khin-chhi3n	khin chhin	thing which weighs lighter than its appearance
輕手	khin-chhi2u	khin chhiu	careful and gentle in doing fine hand-work
輕罪	khin-cho7e	khin choe	venial sin
鋁	khin-gi5n (a-lu2-mih)	khin gin	aluminum
勤學	khi5n-ha8k	khin hak	study diligently
輕刑	khin-he5ng	khin heng 01	light punishment
輕型	khin-he5ng	khin heng 02	light style
輕工業	khin-kang-gia8p	khin kang giap	light industry
輕氣 ,氫氣	khin-khi3	khin khi	hydrogen
輕氣球	khin-khi3-ki5u (khong-khi3-ki5u)	khin khi kiu	balloon
勤儉	khi5n-khia7m	khin khiam	diligent and economical
碗盤相碰聲	khin-khiang-ki3o	khin khiang kio	sound of bowl and dish colliding
輕輕的	khin-khin-a2	khin khin a	lightly
碗盤相碰聲	khin-khin khong-khong	khin khin khong khong 01	sound of bowl and dish colliding
重物碰撞聲 (如石頭 )	khin-khin kho7ng-kho7ng	khin khin khong khong 02	sound of a weight colliding
輕鬆 (工作 )	khin-kho2	khin kho	light (e.g., a load or work)
勤苦	khi5n-kho2+	khin kho+	work sedulously in defiance of hardships
輕快	khin-kho3ai	khin khoai 01	readily induced to help or to do a favor, willing to help, nimble, sprightly, agile
勤快	khi5n-kho3ai	khin khoai 02	diligent, industrious
鏗鏘叫 ,重物碰撞聲	khin-kho7ng-ki3o	khin khong kio	sound of heavy things colliding
輕機槍	khin-ki-chhe3ng	khin ki chheng	light machinegun
輕金屬	khin-kim-sio8k	khin kim siok	light metals
利息輕	khin-la7i	khin lai	few interest
輕力	khin-la8t	khin lat	soft power
輕量級	khin-lio7ng-kip	khin liong kip	lightweight (in boxing)
勤勞	khi5n-lo5	khin lo	labor sedulously, to toil
輕極了	khin-ni2u-si2u*	khin niu siu*	light for its size
輕薄	khin-po8h	khin poh	frivolous and shallow (in manner), small and light (objects)
輕鬆	khin-sang	khin sang 01	relaxed, comfortable, easy (as a job or business)
輕鬆的音樂	::khin-sang e5 im-ga8k	khin sang 01a	light music
輕鬆的工作	::khin-sang e5 khang-kho3e	khin sang 01b	easy job
輕視	khin-si7	khin si	esteem lightly, despise, look down upon
輕聲	khin-sia*	khin sia*	neutral tone (in phonetics of Mandarin and many other Chinese dialects)
輕聲細語	khin-sia* se3-soeh	khin sia* se soeh	quiet, gentle voice
輕信	khin-si3n	khin sin	believe without consideration, believe readily
輕傷	khin-siong	khin siong	minor, slight injury
輕重	khin-ta7ng	khin tang	light and heavy, important and unimportant, weight or importance (in general or in the abstract)
輕極了	khin-tha2*-tha2*	khin tha* tha*	light in weight
勤讀	khi5n-tha8k	khin thak	study diligently
輕度	khin-to7+	khin to+ 01	little degree
輕度的近視	::khin-to7+ e5 ki7n-si7	khin to+ 01a	slightly near sighted
扣	khi3o (kha3u)	khio 01	deduct from (wages), subtract. cf. "khau"
要是現金扣一成。	::Na7-si7 hia7n-kim khi3o chi8t si5a*.	khio 01a	We allow ten per cent discount for cash.
八扣三剩五	::peh khi3o sa* chhun go7+	khio 01b	three from eight leaves five
拾 ,撿	khioh	khioh 01	pick up, to gather, bear (a child), sharpen (a saw)
是在路上撿的 ,不是偷的。	::Ti7 lo7+-ni8h khioh(-tio8h) e5, m7-si7 thau-the8h e5.	khioh 01a	I picked this up on the road, I did not steal it.
修整	khioh	khioh 02	repair and maintain
趁機會	khioh bah-iu3-a2	khioh bah iu a	take advantage of occasion
選較佳較大的貨品排於表面	khioh-bi7n	khioh bin	arrange nice goods on the surface
撿齊	khioh-che5	khioh che	put together
撿柴	khioh-chha5	khioh chha	collect firewood
募捐 ,募款	khioh-chi5*	khioh chi*	collect money
收集在一起	khioh cho3-ho2e	khioh cho hoe	gather things together
生孩子 ,接生	khioh-gi2n-a2	khioh gin a	deliver, give birth to a child, child birth
抱恨 ,懷恨	khioh-hi7n (khioh-hu7n, khioh-oa3n)	khioh hin	harbor deep resentment
撿骨	khioh-hong-su2i	khioh hong sui	take up a dead body and bury elsewhere, to collect the bones in an urn, re-burial, re-interment
排字	khioh-ji7 (pa5i-ji7)	khioh ji	set up type, type-setting
報銷 ,無用	khioh-ka8k	khioh kak 01	utterly useless
這個孩子將來會無前途。	::Chit e5 gi2n-a2 chiong-la5i e7 khioh-ka8k.	khioh kak 01a	This kind will be useless.
摺褶	khioh-ke2ng	khioh keng	make folds or plaits (in a dress), get wrinkled (face of an old person)
提腳就走	khioh-khi2-kha chi7u ki5a*	khioh khi kha	get up on one's two feet then walk away immediately
撿起來	khioh khi2-la5i	khioh khi lai	pick up (an object)
將鋸齒磨利	khioh-ki3-a2	khioh ki a	sharpen sawteeth
撿骨	khioh-kim (khioh kut-tha5u)	khioh kim	collect the bones of the dead for re-burial
埋怨	khioh-oa3n (khioh-hi7n)	khioh oan	cherish deep enmity in one's heart
排字	khioh pa2n	khioh pan	set up print
堆肥	khioh-pu3n	khioh pun	gather manure
收在一起	khioh-sio-oa2	khioh sio oa	put together
節儉 ,不浪費	khioh-sioh	khioh sioh 01	habitually careful that nothing be lost or wasted
他很節儉。	::I chin khioh-sioh.	khioh sioh 01a	He is very economical.
課稅	khioh-so3e	khioh soe	collect taxes
募集丁錢	khioh teng-chi5*	khioh teng chi*	collect money for village purposes, plays, at so much a head
撿掉	khioh-tia7u	khioh tiau	toss away
拾到錢	khioh-tio8h chi5*	khioh tioh chi*	pick up (find) money on the ground
比喻運氣不佳	khioh-tio8h ti-sa2i	khioh tioh ti sai	bad luck
曲	khiok (khek)	khiok 01	crooked, bent, twisted, winding, little known, obscure
彎曲	::oan-khiok	khiok 01a	crooked, winding
卻	khiok	khiok 02	but, yet, still, reject, deny
我要去 ,他卻不去。	::Go2a boeh khi3, i khiok m7 khi3.	khiok 02a	I want to go, but he doesn't.
推卻	::chhui-khiok	khiok 02b	make excuses, decline
曲折	khiok-chiat	khiok chiat	ups and downs (of life), complications, twists and turns
曲從	khiok-chio5ng	khiok chiong	obey, yield reluctantly
曲全	khiok-cho5an	khiok choan	suppress one's own feelings for the sake of greater interests
曲解	khiok-ka2i	khiok kai	misinterpretation, distort (a fact)
曲棍球	khiok-ku3n-ki5u	khiok kun kiu	polo
卻是	khiok-si7	khiok si	indeed it is...
曲線	khiok-so3a*	khiok soa* 01	curve, curved line
曲線美	::khiok-so3a*-bi2	khiok soa* 01a	beauty of line
曲直	khiok-ti8t	khiok tit	right and wrong
恐	khio2ng	khiong	fear, fearful, apprehensive, terror
恐嚇	khio2ng-hat	khiong hat	blackmail, threaten, terrorize
恐嚇罪	khio2ng-hat-cho7e	khiong hat choe	blackmailing (offense of), intimidation, extortion
恐慌	khio2ng-ho5ng	khiong hong 01	panic, consternation
起恐慌	::khi2 khio2ng-ho5ng	khiong hong 01a	be thrown into consternation, panic-stricken
經濟恐慌	::keng-che3 khio2ng-ho5ng	khiong hong 01b	financial panic
惶恐	khio2ng-ho5ng	khiong hong 02	fear, suspicion
恐慌不安	khio2ng-ho5ng put-an	khiong hong put an	suspicious and uneasy
恐口無憑	khio2ng kha2u bu5-pi5n	khiong khau bu pin	word of mouth is no evidence or proof (of a transaction), word of mouth cannot be trusted ─ a written document is necessary
恐懼	khio2ng-khu7	khiong khu	fear, dread, fright, scare
恐怕	khio2ng-kia* (kia*-a2, khio2ng-pha3*)	khiong kia* 01	I fear that, I am afraid that. Probably, perhaps
恐怕會下雨。	::Khio2ng-kia* (kia*-a2) e7 lo8h-ho7+.	khiong kia* 01a	I am afraid that it will rain.
恐龍	khio2ng-lio5ng	khiong liong	dinosaur
恐怖	khio2ng-po3+	khiong po+	terror, horror, fear
恐怖主義	khio2ng-po3+ chu2-gi7	khiong po+ chu gi	terrorism
恐怖份子	khio2ng-po3+ hu7n-chu2	khiong po+ hun chu	terrorists
恐怖時代	khio2ng-po3+ si5-ta7i	khiong po+ si tai	age of terror, reign of terror
泣	khip	khip 01	weep silently
吸	khip	khip 02	draw in the breath, inhale, suck up, absorb, attract
呼吸	::ho+-khip	khip 02a	respiration, breathing, breathe
握住 ,抓住 ,攀住	khi8p	khip 03	cling (hold on) to, hang on, depend on
吸墨紙 ,吸水紙	khip-ba8k-cho2a (khip-chu2i-cho2a)	khip bak choa	blotting-paper
吸取	khip-chhu2	khip chhu	seek (knowledge), suck (liquids)
磁石	khip-chio8h	khip chioh	loadstone
吸血鬼	khip-hiat-ku2i	khip hiat kui	vampire
握住	khi8p ho7+ tia5u	khip ho+ tiau	Hold on to it!
吸煙	khip-ian	khip ian	exhaust smoke, fumes
吸音	khip-im	khip im	sound-absorbent
吸音板	khip-im-pa2n	khip im pan	soundproofing board
吸引	khip-i2n	khip in	attract
吸引力	khip-i2n-le8k	khip in lek	power of attraction, gravitation
吸油煙機	khip-iu5-ian-ki	khip iu ian ki 01	exhaust fan
吸油煙機會吸油 ,也會吸煙。	::Khip-iu5-ian-ki e7 khip-iu5 ia7 e7 khip-ian.	khip iu ian ki 01a	An exhaust fan will exhaust grease as well as smoke.
吸入	khip-ji8p	khip jip	inhalation, inhale
吸入器	khip-ji8p-khi3	khip jip khi	inhaler
吸氣	khip-khi3	khip khi	inhale, draw in the breath
吸氣器	khip-khi3-khi3	khip khi khi	aspirator
吸力	khip-le8k	khip lek	magnetic force, force of attraction
吸收	khip-siu	khip siu 01	absorption, suction, absorb, suck in
吸收新知識	::khip-siu sin ti3-sek	khip siu 01a	assimilate new knowledge
吸塵器	khip-ti5n-khi3	khip tin khi	vacuum cleaner
吸毒	khip-to8k (chia8h-to8k)	khip tok	smoke opium
吸毒者	khip-to8k-chi2a (chia8h-to8k-e5)	khip tok chia	drug addict
乞	khit	khit 01	beg for alms, entreat, pray humbly
濃	khi8t	khit 02	viscous, very thick (e.g. a liquid, as boiled rice), to mix by stirring
樁 ,札	khi8t (khi8t-a2)	khit 03	stake, post, piles
打木樁	::te3ng khi8t-a2	khit 03a	put up a post, to drive in a piles, stake (poles) into the ground
木樁	::chha5-khi8t-a2	khit 03b	wooden peg (stake)
乞丐	khit-chia8h	khit chiah	Lit. beg-for-food, beggar
乞丐收容所	khit-chia8h-ia5*	khit chiah ia*	beggar's camp
乞丐趕廟公 ,鳩佔鵲巢	khit-chia8h ko2a* bi7o-kong	khit chiah koa* bio kong	A homeless beggar expelled the superior of the Buddhist temple in which he asked for a night's lodging ─ usurp what is asked for a night's lodging ─ usurp what is other's. The camel got his head into the tent.
只會吃而不肯工作的人	khit-chia8h-kut	khit chiah kut	lazy man unwilling to work only eat all day long
乞丐寮	khit-chia8h-lia5u	khit chiah liau	beggar's hut
當乞丐的命運	khit-chia8h-mi7a	khit chiah mia	poor man like a beggar
乞丐婆 ,乞婦	khit-chia8h-po5	khit chiah po	woman beggar
乞丐頭	khit-chia8h-tha5u	khit chiah thau	head of a beggar band
乞丐所唱的歌曲 (比喻唱歌難聽 )	khit-chia8h-tia7u	khit chiah tiau	to sing a bad sounding song (Lit. the sound or song of a beggar)
乞水 (人死其家人到河邊求乞水來為死人淨身 )	khit-chu2i	khit chui	custom of going to get water and washing the body of a person who has just died in the family
乞雨	khit-ho7+	khit ho+	pray for rain, Usually farmers pray to "Thi*-kong" for rain in mourning clothes, the magistrate of that prefectures has to join the rite, also in mourning.
乞求 ,求乞	khit-ki55u (ki5u-khit)	khit kiu	entreat, supplicate
煮漿糊	khi8t-ko5+-a2	khit ko+ a	boil paste
揪 ,拉	khi2u (gi2u)	khiu 01	grasp and pull towards one, seize violently, lay hold of roughly
儉 ,捲曲	khi5u	khiu 02	curled, curly, penurious, very economical and rather niggardly
稠黏	khi7u	khiu 03	sticky, viscous (as cakes made of glutinous rice or thick dough)
吝嗇之人	khi5u-chi-ni	khiu chi ni	stingy people
揪衣襟	khi2u heng-kha2m	khiu heng kham	seize a man by his clothes at the neck or the breast
節儉	khi5u-khia7m	khiu khiam	very thrifty and rather niggardly
勤苦節儉	khi5u-khi5u khia7m-khia7m	khiu khiu khiam khiam	hard working and thrifty during one's life
拉拉扯扯	khi2u-khi2u la8k-la8k	khiu khiu lak lak	lay hold of so violently as to injure
又小氣又節儉	khi5u koh khia7m	khiu koh khiam	stingy and thrifty person
捲髮	khi5u-mo5+ (khi5u-mn5g)	khiu mo+	curly hair
很節儉的人	khi5u-si2-si2	khiu si si	thrifty people
揪頭髮	khi2u tha5u-chang (tha5u-mo+)	khiu thau chang	seize a person by the hair of the head
土音 ,腔調	khiu* (khiu*-kha2u)	khiu* 01	dialect, peculiar pronunciation, a brogue
那個外國人講臺灣話都沒有腔調。	::Hit e5 go7a-kok-la5ng ko2ng Ta5i-oa5n-o7e lo2ng bo5 khiu*.	khiu* 01a	That foreigner speaks Taiwanese like a native.
鹿港腔調	::Lo8k-ka2ng-khiu*	khiu* 01b	peculiar brogue of Lok-kang area, similar to Choan-chiu-khiu*
禁 ,禁食	khi7u* (khi7u*-chhu3i)	khiu* 02	restrain the appetite from what is not agreeable
要禁食酸的。	::Sng e5 mi8h tio8h-a3i khi7u*.	khiu* 02a	You must refrain from eating sour stuff.
腔調重	khiu*-kha2u ta7ng	khiu* khau tang	accent very heavy
愛惜	khi7u*-si3u*	khiu* siu*	cherish, treasure
如果較愛惜一點 ,可用三十年。	::Na7 khah khi7u*-si3u* le, io7ng u7 sa*-cha8p ni5.	khiu* siu*	If you take good care of it, you can use it for thirty years.
糠	khng	khng 01	chaff (rice), bran (from rice)
米糠	::bi2-khng	khng 01a	bran from rice
粗糠	::chho+-khng	khng 01b	rice chaff
放置 ,貯藏	khn3g (he7)	khng 02	put, to place, reserve
放在桌上	::Khn3g to3a toh-te2ng.	khng 02a	Put it on the table!
我要放在桌下。	::Go2a boeh khn3g to3a toh-kha.	khng 02b	I will put it under the desk (future tense).
我放在桌下。	::Go2a khn3g ti7 toh-kha.	khng 02c	I put it under the desk (past tense).
這塊肉可以留 (貯藏 ) 到明天。	::Chit te3 bah e7-ta3ng khn3g ka3u bi5n-a2-cha3i.	khng 02d	The meat will keep overnight.
勸	khn3g (kho3an)	khng 03	exhort
勸他不要抽煙。	::khn3g i m7-thang chia8h-hun	khng 03a	advise him to refrain from smoking
勸人為善	::khn3g la5ng cho3 ho2	khng 03b	exhort others to do good
米糠	khng-a2	khng a	bran from rice
勸和	khn3g-ho5	khng ho	urge reconciliation
看起來比實際年齡年輕	khn3g-ho3e	khng hoe	to look younger than one's age
藏技	khn3g-po7+	khng po+	conceal part of our plans, story or affairs, teach in a slovenly way
勸人息事寧人	khn3g-soah	khng soah	persuade, advise
米糠虫	khng-ta5i	khng tai	sort of small stinging insect that breeds in bran, spoiling it
放著	khn3g-teh (le3)	khng teh	put down
放正	khn3g tio8h-tha5u	khng tioh thau	lay it in the proper direction or position
科	kho (khe)	kho 01	class, an order or series, department, family (of vegetation or animals)
外科	::go7a-kho	kho 01a	surgery, surgical department
內科	::la7i-kho	kho 01b	internal medicine
擊	kho2	kho 02	strike, hit, beat
用石頭擊你。	::Io7ng chio8h-tha5u ka7 li2 kho2-lo8h-khi3.	kho 02a	I'll knock you down with a rock.
可	kho2	kho 03	may, can, be able, sign of potential, to permit, worthy, possible
考	kho2	kho 04	examine, to test, deceased father
明天要考歷史。	::Bi5n-a2-cha3i boeh kho2 le8k-su2.	kho 04a	There will be an exam in history.
我要考大學。	::Go2a boeh kho2 ta7i-ha8k.	kho 04b	I will take university entrance examination.
我要考你們英語。	::Go2a boeh ka7 li2n kho2 Eng-gi2.	kho 04c	I'll give you a test in English.
濃 ,排乾池水以捕魚	kho2	kho 05	thick (fluids), empty out (a pond)
水泥太濃 ,得加點水。	::An5g-mo5+-tho5+ siu* kho2, tio8h ke chham chi8t-sut-a2 chu2i.	kho 05a	The cement is too thick, you must add some water.
靠 ,仗	kho3	kho 06	depend on, lean on, rely on, make use of a person's influence
仗他父親的勢力。	::Kho3 in la7u-pe7 e5 se3.	kho 06a	shelter himself under his father's influence
靠他有錢	::kho3 i u7 chi5*	kho 06b	make use of his financial influence
課	kho3	kho 07	task, lesson, taxes, to levy, section (in an office)
擺架子	kho5	kho 08	abrupt, blunt, brusque
講話擺架子	::ko2ng-o7e chin kho5	kho 08a	have a blunt way of speaking, speak stiffly
回答得很傲慢	::i3n lia2u chin kho5	kho 08b	gave a blunt (an abrupt) reply, answered brusquely
可愛	kho2-a3i	kho ai 01	lovable
這孩子很可愛。	::Chit e5 gi2n-a2 chin kho2-a3i.	kho ai 01a	This child is very lovable (cute).
靠不住	kho3-be7-chu7 (be7-kho3-tit)	kho be chu	unreliable, a person who can not be trusted
沒考上	kho2 bo5 tio8h (kho2 bo5 tia5u)	kho bo tioh	failed in an examination
科目	kho-bo8k	kho bok 01	subject, course
主修科目	::chu2-siu kho-bo8k	kho bok 01a	major
副修科目	::hu3-siu kho-bo8k	kho bok 01b	minor (subject)
課目	kho3-bo8k	kho bok 02	topic or subject of study
課文	kho3-bu5n	kho bun	text
考查	kho2-cha	kho cha	investigate, investigation, a test in, to check
考績	kho2-chek	kho chek	periodic examination of employees' work, to grade the service (of an employee)
考證	kho2-che3ng	kho cheng	verification, prove
考證學	kho2-che3ng-ha8k	kho cheng hak	textual criticism
考察	kho2-chhat	kho chhat 01	visit, inspection
去美國考察	::khi3 Bi2-kok kho2-chhat	kho chhat 01a	visit America in order to study something
考察旅行	kho2-chhat li2-he5ng	kho chhat li heng	inspection tour
考察團	kho2-chhat-tho5an	kho chhat thoan	investigating commission
考取	kho2-chhi2 (kho2-chhu2)	kho chhi 01	worthy of praise or commendation
考試	kho2-chhi3	kho chhi 02	examination, test, to test
入學考試	::ji8p-ha8k kho2-chhi3	kho chhi 02a	school entrance examination
考試及格	::kho2-chhi3 ki8p-keh	kho chhi 02b	pass an exam.
台灣話的考試	::Ta5i-oa5n-o7e e5 kho2-chhi3	kho chhi 02c	give a test in Taiwanese
考試院	Kho2-chhi3-i7*	kho chhi i*	Examination Yuan
考試場 ,考場 ,試場	kho2-chhi3-ti5u* (kho2-ti5u*, chhi3-ti5u*)	kho chhi tiu*	room (hall), the field of examination
擱淺	kho3-chhia2n	kho chhian	run aground
可笑	kho2-chhi3o (ho2-chhi3o)	kho chhio	laughable, ridiculous
考取	kho2-chhu2 (kho2-tia5u)	kho chhu 01	pass an examination (for admission to a school, employment)
可取	kho2-chhu2 (kho2-chhi2)	kho chhu 01a	worthy of praise or commendation
犒將 ,拜鬼	kho3-chio3ng (kho3-chia3ng)	kho chiong	offer sacrifice to ghost (spirit)
科主任	kho-chu2-ji7m	kho chu jim	department head
可疑	kho2-gi5	kho gi	doubtful, questionable, suspicious
考驗	kho2-gia7m	kho giam	examine, to test, test or trial
課業	kho3-gia8p	kho giap	school work
課外	kho3-go7a	kho goa	extracurricular
課外作業	kho3-go7a chok-gia8p	kho goa chok giap	homework (for a student)
課外活動	kho3-go7a hoa8t-to7ng	kho goa hoat tong	extracurricular activities
科學	kho-ha8k	kho hak	science
科學者	kho-ha8k-chi2a	kho hak chia	scientist
科學儀器	kho-ha8k gi5-khi3	kho hak gi khi	scientific instruments, apparatus
科學化	kho-ha8k-ho3a	kho hak hoa 01	scientific
科學化管理	::kho-ha8k-ho3a ko2an-li2	kho hak hoa 01a	scientific management
科學家	kho-ha8k-ka	kho hak ka	scientist
